original,translate
Shield Slam,Удар щитом
"Whilst wielding a shield, dodging a melee attack causes you to deal 1-4 Blunt damage to your attacker",При использовании щита уклонение от атаки в ближнем бою наносит атакующему 1-4 дробящего урона.
Smashing Charge,Разящий заряд
Your Charges cause 1-3 additional Blunt Damage,Ваши заряды наносят дополнительно 1-3 дробящего урона
Hidden Deployment,Скрытое развертывание
You start combat Hidden,Вы начинаете бой Скрытый
Smoke Bomb,Дымовая шашка
"The first time you're Wounded each combat, you automatically hide",При первом ранении в каждом бою вы автоматически прячетесь.
Not Today!,Не сегодня!
"The first time you take Wound Hit point Damage each combat, you automatically regain 12-18 Vitality Hit Points","В первый раз за бой, когда вы получаете урон от Удара с Ранением, вы автоматически восстанавливаете 12-18 очков Живучести"
