original,translate
Ancient Halfplate,고대 반신 판금 갑옷
Fine Halfplate,고급 반신 판금 갑옷
Masterwork Halfplate,명품 반신 판금 갑옷
Poor Halfplate,조잡한 반신 판금 갑옷
The Rat Queen's Armor,쥐 여왕의 갑옷
Leather Armor,가죽 갑옷
Fine Leather Armor,고급 가죽 갑옷
Masterwork Leather Armor,명품 가죽 갑옷
Poor Leather Armor,조잡한 가죽 갑옷
Padded Armor,누비 갑옷
Fine Padded Armor,고급 누비 갑옷
Masterwork Padded Armor,명품 누비 갑옷
Poor Padded Armor,조잡한 누비 갑옷
Scalemail,미늘 갑옷
Fine Scalemail,고급 미늘 갑옷
Masterwork Scalemail,명품 미늘 갑옷
Poor Scalemail,조잡한 미늘 갑옷
Studded Leather,징박은 가죽 갑옷
Fine Studded Leather,고급 징박은 가죽 갑옷
Masterwork Studded Leather,명품 징박은 가죽 갑옷
Poor Studded Leather,조잡한 징박은 가죽 갑옷
#Books,#서적
Astronomer's Journal,천문학자의 일지
"A small, well-used journal",작고 낡은 일지입니다
The journal contains a large amount of tabulated data that appears to be astrological in nature interspersed with notes,"일지에는 점성학적인 성격으로 보이는 다량의 표 데이터가 메모와 함께 섞여 있습니다"
The final entries appear to have been made only days before your arrival,"마지막 기록은 당신이 도착하기 불과 며칠 전에 작성된 것으로 보입니다"
Observed strange dancing lights in the sky,하늘에서 춤추는 듯한 이상한 빛을 관측했다
Not unlike those sailors to the far south describe near polar regions yet somehow different,"선원들이 저 먼 남쪽 극지방 근처에서 묘사한 것과 비슷하지만, 어딘가 다르다"
Colors indescribable - Mesmerizing,형용할 수 없는 색채 - 매혹적이다
For a fleeting moment I even thought I heard a sound,"아주 짧은 순간, 소리를 들은 것 같기도 했다"
Somewhere between a deep wail and singing,"깊은 통곡과 노래, 그 사이 어딘가의 소리였다"
Could not perform observations tonight,오늘 밤은 관측을 수행할 수 없었다
Charts or instruments are off and I cannot make sense of the sky,"차트나 도구가 잘못된 것인지, 하늘을 도무지 이해할 수가 없다"
There are bodies there,그곳에 천체들이 있다
Bodies that are alien to me,나에게 낯선 천체들이
It must be some form of comet storm or some other extraordinary astronomical event that has not been predicted in the Imperial Charts,"제국 차트에서 예측하지 못한 혜성 폭풍이나, 다른 기이한 천문 현상임이 틀림없다"
They are wrong!,그들이 틀렸다!
I have done the calculations over and over and I come to the same conclusion,계산을 반복하고 또 반복해도 결론은 같다
The stars are wrong - in so many ways!,별들이 잘못되었다 - 너무나 많은 면에서!
"As I observed an alien cluster in the southeastern quadrant, it dawned on me with absolute certainty","남동쪽 사분면에서 이질적인 성단을 관측했을 때, 나는 절대적인 확신을 가지고 깨달았다"
I am not watching them - they are watching me,내가 그들을 보고 있는 것이 아니다 - 그들이 나를 보고 있다
I dread to look again yet I feel compelled to do so,"다시 보기가 두렵지만, 그렇게 해야만 한다는 강박을 느낀다"
They beckon me,그들이 나를 부른다
I am certain that if I look again into that dreadful cluster in the southeastern quadrant I shall be undone,"그 끔찍한 남동쪽 성단을 다시 쳐다본다면, 나는 파멸하리라 확신한다"
Yet there are answers there,하지만 그곳에 해답이 있다
Deeper and more profound than any mortal mind can comprehend,필멸자의 정신으로는 이해할 수 없는 깊고 심오한 해답이
I believe I shall look again,다시 보게 될 것 같다
I must,그래야만 한다
Origins of the Legionnaire’s Rest,군단병의 안식처의 기원
"A small, generic book of lore",작고 평범한 설화집입니다
Fawlon’s Treatise on the Origins of Imperial Fauna Excerpt,폴론의 제국 식물군 기원에 관한 논문 발췌
Legionnaire’s Rest,군단병의 안식처
Colours indescribable - Mesmerising,"기록에 따르면 디아골로 협곡 전투는 사흘 동안 맹위를 떨쳤으며, 전투가 끝났을 때 구한 목숨보다 잃은 목숨이 더 많았다고 한다"
"It was a time of great sorrow, but from this calamity, new life blossomed","그것은 큰 슬픔의 시기였으나, 이 재앙 속에서 새로운 생명이 피어났다"
For from the soil beneath which the lost legions lay an abundance of crimson red flowers sprouted forth,잃어버린 군단이 묻힌 흙 속에서 진홍빛 꽃들이 무성하게 솟아났기 때문이다
"Flowers that, it is said, will only grow upon the graves of those fallen in battle","전해지기를, 이 꽃들은 오직 전사한 이들의 무덤 위에서만 자란다고 한다"
Folk Poetry of the North,북방의 민속 시
Volume,권
THE RIVEMAN'S RHYME,강의 사공의 노래
"To the river I will go,","강으로 가리라,"
"To soothe a heart that’s full of woe,",비탄에 잠긴 이 마음 달래러.
For in the water’s cool embrace,"강물의 차가운 포옹 속에서,"
My true self I will face,나의 진정한 얼굴을 마주하리라.
FOLK LITANY OF THE DEAD,망자를 위한 민속 기도문
"Bathe the flesh,","살을 씻기고,"
Mend the bone,뼈를 맞추라;
"Then lay the body,","그러고 나서 시신을 눕혀라,"
Beneath the stone,돌 아래에.
AN ODE TO THE POTATO,감자 찬가
"Oh, how blessed we’ll be,","오, 우리는 얼마나 축복받았는가,"
"To taste your earthy bliss,",그대의 흙내음 나는 환희를 맛보니.
When we have sown our fields,우리는 땅을 일구고 경작하며; 손을 들어 처녀들에게 기도하네:
And planted your seeds,그리고 우리의 간청을 들으시어
And awaited rain’s gentle kiss,비의 부드러운 입맞춤을 느끼네
Postscript,추신
"For context and comaprison, I have taken the opportunity of adding the transcript of a fruit farmer's tirade to the local magistrate on the issue of the potatoe-related agricultural reforms","문맥과 비교를 위해, 감자 관련 농업 개혁 문제에 대해 과수원 농부가 지방 치안판사에게 퍼부은 장광설의 녹취록을 추가할 기회를 가졌다"
If I receive one more decree commanding me to re-sow my fruit orchards into bloody potato fields!,내 과수원을 빌어먹을 감자밭으로 갈아엎으라는 명령서가 한 번만 더 날아오면!
I’m going to send him a bag full of my ripest manure!,아주 푹 삭힌 거름 한 포대를 보내버릴 거야!
"Bloody Magi, making a mess of the world and leaving it to us lot to clean it up!","빌어먹을 마법사 놈들, 세상을 엉망으로 만들어놓고 치우는 건 우리 몫이지!"
Not on my farm!,내 농장에서는 안 돼!
They can shove their bloody seed-potatoes up their sacred arses for all I bleeding care!,그 빌어먹을 씨감자는 그놈들의 고귀한 똥구멍에나 처박으라지, 내 알 바 아니야!
Origins of the Sorroweater,슬픔을 먹는 자의 기원
Sorrow-Eater,슬픔을 먹는 자
"In the year of 641 GA, after the lay-Countess of Vaul lost her firstborn to dry lung, it is rumored that she locked herself up in her chambers to wallow in her grief","GA 641년, 바울의 백작부인이 첫째 아이를 마른 폐병으로 잃은 후, 슬픔에 잠겨 침실에 틀어박혔다는 소문이 돌았다"
"One of the lay-Countess's most important offices was as head of the High Forum, and thus, fearing her absence would cause much unrest amongst nobility, the countess’ majordomo sought help from a wise old crone","백작부인의 가장 중요한 직책 중 하나는 고위 포럼의 의장이었기에, 그녀의 부재가 귀족들 사이에 큰 동요를 일으킬 것을 우려한 집사는 현명한 노파에게 도움을 청했다"
"After hearing her plea, the crone handed the countess’ majordomo a single, violet coloured flower","사정을 들은 노파는 집사에게 보랏빛 꽃 한 송이를 건네주었다"
"Place this beside her bed, and to it all her sorrow shall be fed","이것을 침대 곁에 두어라, 그리하면 모든 슬픔이 꽃에게 먹히리라"
"Desperate, the countess’ majordomo did as the crone advised, and less than a tide later, the lay-Countess of Vaul left her chambers for the first time since the loss of her child","절박했던 집사는 노파의 조언대로 했고, 채 하루가 지나기도 전에 바울의 백작부인은 아이를 잃은 후 처음으로 침실에서 나왔다"
"The tale was quickly passed between courtiers, and ever since, the fauna - aptly named ‘Sorroweater’ - has been given as a gift in times of great sorrow","이 이야기는 궁정인들 사이에 빠르게 퍼졌고, 그 이후로 '슬픔을 먹는 자'라는 적절한 이름이 붙은 이 식물은 큰 슬픔을 겪는 이들에게 선물로 주어지게 되었다"
The High Forum of 641 was indeed a great success,641년의 고위 포럼은 실로 대성공이었다
"As so often when the lay-nobility conveens, much was discussed, little was decided and nothing was accomplished save gluttony, fornication and a stabbing or two","귀족들이 모일 때 으레 그렇듯, 많은 논의가 오갔지만 결정된 것은 거의 없었고, 폭식, 간음, 그리고 한두 번의 칼부림 외에는 성과가 없었다"
Origins of the Starspawn,별의 자손의 기원
Starspawn,별의 자손
"Despite its beautiful appearance, the legend on the origin of the Starflower is a grim one","아름다운 외관과는 달리, 별꽃의 기원에 대한 전설은 암울하다"
"Many centuries ago, before Gallina came from the south, a fatally wounded warrior lay dying","수세기도 전, 갈리나가 남쪽에서 오기 전, 치명상을 입은 전사가 죽어가고 있었다"
He pleaded to the Gods for help just as a shooting star passed through the sky,그는 신들에게 도움을 간청했고, 마침 유성 하나가 하늘을 가로질러 지나갔다
"Hearing his cries and taking pity on the young man, the star descended to earth to answer his prayers","그의 울부짖음을 듣고 젊은이를 불쌍히 여긴 별은 그의 기도에 응답하기 위해 지상으로 내려왔다"
For such was her nature,그것이 그녀의 본성이었기 때문이다
"At first the soldier was grateful, but he became smitten by her beauty and soon grew lustful","처음에 병사는 감사해했으나, 이내 그녀의 아름다움에 반했고 곧 욕망을 품게 되었다"
Then possessive and finally cruel towards the stellar being,"병사는 그녀를 소유하려 들었고, 마침내 그 별의 존재에게 잔인하게 대했다"
For such was his nature,그것이 그의 본성이었기 때문이다
"She refused him, claiming that stars belong to all who love them and the soldier went mad with rage","그녀는 별은 사랑하는 모든 이들의 것이라며 그를 거부했고, 병사는 분노에 미쳐 날뛰었다. 그는 그 자리에서 그녀의 목을 졸랐다"
"He strangled her then and there for if he could not have her, no one would","그녀를 가질 수 없다면, 아무도 가질 수 없어야 했기에"
"As the star’s last breath left her, her Sisters began to weep","별의 마지막 숨결이 끊어지자, 그녀의 자매들이 울기 시작했다"
"In a shower of burning light, their tears fell to the earth where the star lay, immolating the man who had killed her","타오르는 빛의 소나기 속에서, 그녀들의 눈물은 별이 누워 있는 대지로 떨어져 그녀를 죽인 남자를 태워버렸다"
"When dawn finally broke and the stars withdrew, all that was left in their wake was a field of star-shaped flowers","마침내 새벽이 밝아오고 별들이 물러갔을 때, 하늘에 장밋빛 흔적을 남기며, 와르다(Warda)에 남은 것은 별 모양의 꽃밭뿐이었다"
Origins of the Sunmouth,태양의 입의 기원
Sunmouth,태양의 입
This bright fauna was first discovered in the province of Gorremia following one of the worst winters in the region’s history,이 밝은 식물은 고레미아 지방 역사상 가장 혹독했던 겨울이 지나고 처음 발견되었다
"It is reported that after months of unrelenting snow and ice, the land in this region had become so barren the locals worried new life would never grow from it again","몇 달 동안 끊이지 않는 눈과 얼음으로 인해 이 지역의 땅은 너무나 척박해져, 주민들은 다시는 새 생명이 싹트지 않을까 두려워했다고 한다"
"Fearing the worst, a handful of villagers decided to seek out new homes, and set out with heavy hearts to begin the long journey to the temperate Heartlands","최악의 상황을 우려한 몇몇 마을 사람들은 새로운 보금자리를 찾기로 결심하고, 무거운 마음으로 온화한 심장부(Heartlands)로의 긴 여정을 떠났다"
"It was at this moment, as the villagers braced themselves to leave their lives behind, that a single ray of sunlight broke through the clouds to light the barren area before them","마을 사람들이 삶의 터전을 뒤로하고 떠날 각오를 다지던 바로 그 순간, 한 줄기 햇살이 구름을 뚫고 그들 앞의 황무지를 비추었다"
"Breaths held, the villagers watched as that sliver of sunlight thawed the icy ground, unveiling the beginnings of a single, yellow bud","숨을 죽인 채, 마을 사람들은 그 햇살 조각이 얼어붙은 땅을 녹이고 하나의 노란 꽃봉오리가 돋아나는 것을 지켜보았다"
"A bud that, to this day, has only ever been found to grow in areas of direct sunlight","그 꽃봉오리는 오늘날까지도 직사광선이 닿는 곳에서만 자라는 것으로 알려져 있다"
Monk's Journal,수도사의 일지
We’re working long hours into the night to deal with the recent influx of corpses,최근 들어 시체가 급증하여 밤늦게까지 일하고 있다
What compels these people to act so cruelly?,무엇이 이 사람들을 이토록 잔인하게 만드는가?
Yesterday we had the corpse of a young boy of no more than 12 years come in,어제는 고작 열두 번의 겨울을 넘겼을까 싶은 어린 소년의 시신이 들어왔다
He had been beaten to death by the looks of it,몸에 난 자국을 보니 맞아 죽은 것 같았다
"Sacred dead preserve me - were it not for the calling, I’m not sure I would have persevered",성스러운 망자여 저를 지켜주소서. 소명이 아니었다면 버틸 수 있었을지 모르겠다
A glimmer of light,한 줄기 빛
"Brother Aruun came running up from the crypt, so frightened he had pissed his robes","아룬 형제가 지하 묘지에서 뛰어 올라왔는데, 얼마나 겁을 먹었는지 옷에 오줌을 지렸다"
He claimed he saw something move down in the crypt,"그는 지하 묘지에서 무언가 움직이는 것을 보았다고 주장했다,"
Something “unnatural,부자연스러운 무언가를.
"We laughed till we fell over and by the end, so did he","우리는 배를 잡고 웃었고, 결국 그도 따라 웃었다"
No doubt he saw one of the rats but it’s funny where the mind wanders when sleep becomes scarce,"분명 쥐를 본 것이겠지만, 잠이 부족하면 정신이 어디까지 헤매는지 참 우습다"
Something is wrong in the village!,마을에 뭔가 문제가 생겼다!
They say some kind of riot has broken out,폭동 같은 게 일어났다고 한다
Hierophant Leios said Driina has gone to investigate and that we monks should stay in the crypt for our own safety,"대사제 레이오스는 드리나가 조사하러 갔으니, 우리 수도사들은 안전을 위해 지하 묘지에 머물러야 한다고 했다"
We try to pass the time with work but I wish we knew what was happening,"일하며 시간을 보내려 노력하지만, 무슨 일이 일어나고 있는지 알았으면 좋겠다"
They came from the lower crypts!,그들이 하부 묘지에서 왔다!
All are dead save me and brother Aruun!,"나와 아룬 형제를 제외하고 모두 죽었다!"
We have locked ourselves in the storage room,우리는 창고에 스스로를 가뒀다
How can this be?,어떻게 이럴 수가?
How can such abominations walk?,어떻게 그런 흉물들이 걸어 다닐 수 있지?
There is no light in the afterlife!,사후세계에 빛은 없다!
Only black stars,오직 검은 별들뿐
No water,물이 없다
Aruun did not wake today,아룬이 오늘 깨어나지 않았다
I dare not leave this room - I hear them outside,감히 이 방을 나갈 엄두가 나지 않는다 - 밖에서 그들의 소리가 들린다
I too shall pass,나 또한 떠나리라
Black stars beckon,검은 별들이 손짓한다
A Ragged Note,해진 쪽지
A ragged letter that seems to contain direction of some sort,어떤 지시 사항이 적힌 듯한 너덜너덜한 편지입니다
Enter the sewers from the harbor through the westernmost outlet,항구 서쪽 끝 배수구를 통해 하수구로 들어가라
Follow the chalk arrows on the wall and make your way east past the central cistern and then south,"벽에 그려진 분필 화살표를 따라가 중앙 저수조를 지나 동쪽으로, 그리고 남쪽으로 가라"
From there you’ll find a stairs going down and into the Rat-Maze,"거기서 아래로 내려가는 계단을 찾으면 쥐의 미로로 연결된다"
"In the maze, go W, S, S, W, W and you’ll find yourself in the Underhalls","미로에서 서, 남, 남, 서, 서로 이동하면 지하 전당에 도착할 것이다"
Mind your manners while you’re there and be sure to peruse the Black Market,"그곳에 있는 동안 예의를 갖추고, 암시장을 꼭 둘러보도록 해라"
Surgeon's Journal,군의관의 일지
A journal that was kept by the ship surgeon of the Zephyr,제퍼 호의 군의관이 작성한 일지입니다
Written on the day of departure from the mainland,본토 출발 당일에 작성됨
Left Adler's Helm today with a full complement of passengers,오늘 호린으로 향하는 승객을 가득 태우고 아들러의 투구를 떠났다
Mercenaries by the looks of it,"보아하니 용병들이다"
Paid well,"보수도 꽤 두둑하다"
Ship was dispatched by Guild before we could fully restock medical supplies,의료품을 완전히 보충하기도 전에 길드에서 배를 출항시켰다
Hopefully we won't need them,"부디 쓸 일이 없기를 바랄 뿐이다"
"Then again, our passengers make me uneasy","하지만, 승객들이 왠지 불안하다"
Written 5 days ago,5일 전 작성됨
Brawl in mess - had to set nose,식당에서 싸움이 벌어져 - 코뼈를 맞춰줘야 했다
Men seem on edge,선원들이 예민해 보인다
Can't say I blame them,그들을 탓할 수는 없다
Have been sleeping poorly and dreams are... unsound,많은 이들이 잠을 잘 못 자고 꿈자리가... 좋지 않다
Written 4 days ago,4일 전 작성됨
Igan came to me today with a bite-wound that he sustained whilst working in the hold,오늘 이간이 선창에서 작업하다 물린 상처를 입고 찾아왔다
Didn't see creature and I would say it was a rat's bite if it weren't for the size and some aspect of the dentition that I find hard to explain properly,무엇인지 보지는 못했다고 한다; 크기와 설명하기 힘든 이빨 자국만 아니었다면 쥐에게 물린 거라고 했을 것이다
Written two days ago,이틀 전 작성됨
Was visited today by navigator Aslam,오늘 항해사 아슬람이 찾아왔다
He asked for Whitefern - a sedative,그는 진정제인 화이트펀을 요청했다
Claimed he had trouble sleeping,잠을 잘 못 잔다고 했다
"Suspected he was not fully forthcoming and when pushed, he mumbled something about the stars being 'odd'","뭔가 숨기는 것 같아 추궁하자, 그는 별들이 '이상하다'는 둥 웅얼거렸다"
Not sure what he meant and he left before I could push him further,무슨 뜻인지는 잘 모르겠지만 더 묻기도 전에 그가 나가버렸다
Written today,오늘 작성됨
Men are about to break,사람들이 무너지기 직전이다
We cannot maintain our course for Idra,이드라로 향하는 항로를 유지할 수 없다
Captain advised me today to make ready the surgery and to expect casualties,선장은 오늘 수술실을 준비하고 사상자가 발생할 것에 대비하라고 조언했다
I suspect he intends to inform our passengers that he refuses to land on the island,그가 승객들에게 섬에 상륙하지 않겠다고 통보할 작정인 것 같다
If this is my last,이게 내 마지막이라면,
The entry trails off,기록이 끊겨 있다
Caspar's Journal,카스파의 일지
"A small, leather-bound journal filled with neat handwritten notes",정갈한 필체로 채워진 작은 가죽 장정 일지입니다
Noted on the inside cover is the name “Caspar of Loral,안쪽 표지에 '로랄의 카스파'라는 이름이 적혀 있습니다
About a year ago,약 1년 전
Arrived today and was met by the man who is to be my overseer,오늘 도착해서 내 감독관이 될 사람을 만났다
Mathias,마티아스
He seemed nice enough albeit eccentric,"그는 좀 괴짜 같긴 해도, 사람은 좋아 보였다"
Is this to be my fate as well?,이것이 내 운명인가?
"Woe to me that my wretched life and poor choices has landed me, Caspar of Loral, on this barren rock as the keeper of lights","내 비참한 인생과 어리석은 선택들이 나, 로랄의 카스파를 이 척박한 바위섬의 등대지기로 이끌다니, 비통하도다"
About six months ago,약 6개월 전
Saw lights on the shore near the cave entrance,동굴 입구 근처 해안에서 불빛을 보았다
Smugglers Mathias say,"마티아스는 밀수업자라고 한다"
"He insists we leave them alone and I am forced to abide, though my mind wanders often to that cave and what may lay within","그는 그들을 내버려 두라고 했고 나는 따를 수밖에 없었지만, 내 마음은 자꾸만 그 동굴과 그 안에 무엇이 있을지로 향한다"
About a month ago,약 한 달 전
I cannot take it any more!,더 이상 참을 수가 없다!
The old bastard is driving me mad!,그 늙은이가 날 미치게 만들고 있다!
He spies on me and gives me strange looks,그는 나를 감시하고 이상한 눈으로 쳐다본다
And I’m sure he goes through my things!,그리고 내 물건을 뒤지는 게 틀림없다!
I went for a walk to clear my head and I ended up by the entrance to the sea-cave,머리를 식히러 산책을 나갔다가 해식 동굴 입구까지 가게 되었다
Something is calling me there,무언가 나를 그곳으로 부르고 있다
I hear it even in my sleep,잠결에도 그 소리가 들린다
About a week before your arrival in Idra,이드라 도착 약 일주일 전
Dreams driving me mad!,꿈 때문에 미칠 것 같다!
Always it calls me to the caves,언제나 나를 동굴로 부른다
To the deeper dark that lies beneath where no man has tread for eons,"영겁의 세월 동안 아무도 밟지 않은 지하의 더 깊은 어둠으로"
The looking stone and the ancient sleepers,보는 돌과 고대의 잠든 자들
The blade calls me,칼날이 나를 부른다
I can take no more,더 이상 견딜 수 없다
Smuggler's Journal,밀수업자의 일지
A small leather-bound book,작은 가죽 장정 책입니다
I hate these jobs,이런 일은 정말 싫다
Dropped off and told to guard the cargo until it can be collected,물건을 내려놓고 회수해 갈 때까지 지키라는 지시를 받았다
And whilst the bastards up in the northern cave are living the good life I’m stuck in this hole,"북쪽 동굴에 있는 놈들은 호의호식하는 동안, 나는 이 구멍에 처박혀 있다니"
I sometimes think the Imperial dungeons would be preferable,가끔은 제국 감옥이 더 낫겠다는 생각도 든다
We explored the cave today and found what appears to be an underwater tunnel in one of the dead-ends,오늘 동굴을 탐사하다가 막다른 길 중 한 곳에서 수중 터널로 보이는 것을 발견했다
Bryn insisted we try to swim it but I can think of no worse nightmare than being lost in the dark underwater,"브린은 헤엄쳐 보자고 우겼지만, 어두운 물속에서 길을 잃는 것보다 더 끔찍한 악몽은 상상할 수 없다"
I told him as much and he got agitated,그렇게 말했더니 그는 흥분했다
Yelled something about dreaming of an ancient relic,고대 유물에 대한 꿈을 꿨다느니 뭐라느니 고함을 질렀다
I have no idea what he’s on about,도대체 무슨 소리를 하는 건지 모르겠다
Golden dead!,세상에!
Bryn got attacked by a crab the size of a warhound today!,오늘 브린이 군견만 한 게에게 공격당했다!
Nearly took his leg off!,다리가 잘릴 뻔했다!
Neither of us have seen anything like it before and we can only pray it was alone!,우리 둘 다 그런 건 처음 봤고, 그놈이 혼자였기만을 기도할 뿐이다!
Hope the ship won't be delayed much longer,배가 더 이상 늦어지지 않기를 바란다
Bryn is gone,브린이 사라졌다
I know in my heart he’s gone to the underwater tunnel,마음속으로는 그가 수중 터널로 갔다는 걸 알고 있다
Madness!,미친 짓이야!
Shapes are moving in the dark now,이제 어둠 속에서 형체들이 움직인다
No way out and no one is coming for me!,나갈 길은 없고 아무도 구하러 오지 않아!
Light is failing,빛이 꺼져간다
Mother,어머니
Marita's Cookbook,마리타의 요리책
A humble cookbook,소박한 요리책입니다
VEGETABLE SOUP,야채 수프
Potatoes - Carrots - Leeks,감자 - 당근 - 대파
All of the above can be found growing in our field,위 재료들은 모두 우리 밭에서 구할 수 있음
FARMER'S OMELETTE,농부의 오믈렛
x Eggs - Potatoes - Onions,달걀 - 감자 - 양파
Sea bird eggs will do just fine,바닷새 알이면 충분함
Onions grow wild in abundance,양파는 야생에서 흔하게 자람
Cabal Journal,카발의 일지
A journal that appears to have been written by one of the members of the Cabal expedition,카발 원정대원 중 한 명이 작성한 것으로 보이는 일지입니다
This one was found in the base-camp,이것은 베이스캠프에서 발견되었습니다
ENTRY,기록
We’ve finally arrived at the Priory and found it in shockingly good condition,드디어 수도원에 도착했는데 상태가 놀라울 정도로 양호하다
It’s as if time has stood still here,마치 이곳의 시간은 멈춘 것 같다
The initial survey does not reveal a clear means of accessing the lower level but I’m confident we’ll find a way given enough time,"초기 조사에서는 하층으로 가는 확실한 방법을 찾지 못했지만, 시간만 충분하다면 방법을 찾을 수 있을 거라 확신한다"
This place boggles the mind,이곳은 정말 믿기지 않는다
It appears to stand as it was left millennia ago,수천 년 전에 남겨진 모습 그대로 서 있는 것 같다
How it could have slipped so well out of time and history is truly a mystery to me,어떻게 시간과 역사에서 이토록 완벽하게 비켜날 수 있었는지 정말 미스터리다
As is the fate of the Priory’s original occupants,수도원의 원래 거주자들의 운명 또한 그렇다
Still no success in finding the door to the catacombs,아직 지하 묘지로 가는 문을 찾지 못했다
I can only conclude it’s somehow concealed,어딘가 숨겨져 있다고 결론 내릴 수밖에 없다
"We did, however, make an interesting discovery","하지만, 흥미로운 발견을 했다"
The four statues on the “pilgrim’s road” can be rotated,'순례자의 길'에 있는 네 개의 조각상을 회전시킬 수 있다
I’m certain this is somehow significant!,이것이 뭔가 중요한 의미가 있다고 확신한다!
Some form of disease is spreading amongst the men,대원들 사이에 일종의 질병이 퍼지고 있다
Abdominal pain and swelling combined with fevers,"복통과 부종, 그리고 발열을 동반한다"
Our apothecary is so far at a loss at curing it but suggests that proximity to the fungal growths that started sprouting is a potential vector of infection,"약제사는 아직 치료법을 찾지 못했지만, 싹트기 시작한 곰팡이 증식물 근처에 가는 것이 감염 경로일 수 있다고 추측하고 있다"
I’ve ordered that masks be worn near the growths,증식물 근처에서는 마스크를 착용하라고 지시했다
A breakthrough,획기적 발견
We found a document in the scriptorium with a verse on it!,필사실에서 시구가 적힌 문서를 발견했다!
It’s so clear now,이제 모든 것이 명확해졌다
