The Baroness of Firgol has asked me to talk to Camilla the weaver to see if they need my help in finishing preparations for the Canivale,,,
Talk to Camilla,,,
I need to seek out Camilla the weaver,,,
She lives somewhere in the village of Firgol,,,
A Song for Camilla,,,
Camilla the weaver has a crush on a woman named Cass,,,
Unfortunately she fears her love is unrequited and has asked me to talk to Cass on her behalf,,,
She suggests I search for Cass along the bed of the lake or creek that runs past Firgol,,,
Such Wonders,,,
Carnivale is upon you!,,,
Eat!,,,
Drink!,,,
Revel!,,,
You must partake in all the wonders of the Carnivale!,,,
Try the drink at the Carnevale!,,,
Sample the food at the Carnivale,,,
Give in to the music of the Carnivale,,,
The Surprise,,,
Enjoy the rest of the night,,,
The Finale,,,
Storm the Firgol manor,,,
The Baron's Play,,,
The Baron's play is about to begin,,,
Take your place in front of the stage,,,
The Tower of Ash,,,
We met a strange man on Idra who beseeched us to travel to an island just north of Idra called Eryll and seek out ‘The Tower of Ash’,,,
Apparently his master is somehow in dire straits and in need of aid,,,
"Though not much more could be learned from the man, I suspect his master may in fact be a Magos of quite some power",,,
To the Tower,,,
I've been asked to travel to the island of Eryll,,,
It lies a short distance north of Idra but still south of Gradla,,,
There I must find ‘The Tower of Ash’ and venture to learn more of the plight of its ‘Master’,,,
Down Below,,,
I met the strange apprentices of a Magos by the name of Calipero,,,
He seems to be missing in the halls underneath the tower and the apprentices are desperate to see him returned,,,
The entrance to the dungeons below can be found under the mercury pool on the ground floor of the tower,,,
Apparently the entrance will somehow reveal itself if I blow the silver flute given to me by the apprentices,,,
Salts of Elthanyr,,,
"As I entered the dungeon, I was contacted through magical means by Calipero himself",,,
It seems he is locked in an arcane stale-mate with some creature he tried to call forth from beyond,,,
To free himself he has asked that we create something called the Salts of Elthanyr and bring it to his summoning chambers beneath the main dungeon,,,
Ingredient Hunt,,,
To craft the Salts of Elthanyr I need to find the 'Protoplasmic Catalyzer' and add the following ingredients is this exact order,,,
First add Sylversalt,,,
"Second, add Salamander’s Horn",,,
"Finally, add Lotus Petals",,,
I'm sure these ingredients as well as the 'Protoplasmic Catalyzer' can be found in this very dungeon,,,
The Recipe,,,
For starters I need to find the recipe for Salts of Elthanyr,,,
Hopefully the recipe can be found somewhere in this dungeon,,,
The Summoning Chamber,,,
I've crafted the Salts of Elthanyr,,,
Now I need to make my way down Calipero's Summoning Chambers and assist him as best I can,,,
Vomit Cups,,,
"Esteban, the alchemist in the Underhalls under Horryn, has asked me to find some ‘vomit cup’ fungi for him",,,
They are large green fungi that smell horribly,,,
He explains that they grow in caves adjoining the Underhalls,,,
These caves can be accessed through a barred gate west of the Rat-Queens court,,,
The area is off-limits and a guard patrols it,,,
"Once past the gate, I should make a left turn and find the chamber where the vomit cups grow",,,
"Afterwards, I’ll return to Esteban for my rewards as well as access to his alchemical supplies",,,
