original,Traducido
Vitality is a buffer to your wounds and as long as you have Vitality left you won’t take (serious,La vitalidad es un amortiguador para tus heridas y mientras tengas vitalidad no tomaras (graves)
Wound damage,Daño por herida
Vitality is easily lost and easily regained!,¡La vitalidad se pierde facilmente y se recupera facilmente!
Potions and healing magic restores Vitality - even during combat,"Las pociones y la magia curativa restauran la vitalidad, incluso durante el combate."
"The second, purple bar represents your Wounds",La segunda barra morada representa tus heridas.
Losing Wounds is much more serious than losing Vitality,Perder Heridas es mucho mas grave que perder Vitalidad
Reaching 0 wounds means your character falls unconscious,Alcanzar 0 heridas significa que tu personaje queda inconsciente.
Wounds can also only be recovered by resting (or leveling up,Las heridas tambien solo se pueden recuperar descansando (o subiendo de nivel).
Try to avoid taking Wound damage at all costs!,¡Intenta evitar recibir daño por heridas a toda costa!
"Whenever you take Wound damage, you gain an Injury Condition as indicated by the icon on the portrait","Siempre que recibes daño por Herida, obtienes una Condicion de Herida como lo indica el icono en el retrato."
Injuries confer serious penalties to your character and can only be removed by resting,Las lesiones confieren graves penalizaciones a tu personaje y solo se pueden eliminar descansando.
A party full of injured party members has its combat effectiveness severely reduced!,¡Un grupo lleno de miembros heridos ve reducida severamente su efectividad en combate!
Making camp and resting is the surest way to restore an injured character!,¡Hacer campamento y descansar es la forma mas segura de restaurar un caracter herido!
Note that resting is not possible in every location so plan accordingly,"Tenga en cuenta que no es posible descansar en todas las ubicaciones, asi que planifique en consecuencia."
You can also rest at inns when you find them,Tambien podras descansar en posadas cuando las encuentres.
Interactables,Interactables
Moving the cursor over an interactable object will make a yellow outline appear,Al mover el cursor sobre un objeto interactivo aparecera un contorno amarillo
Left mouse-click to interact with the object,Haga clic izquierdo del raton para interactuar con el objeto
Right mouse-click to examine it,Haga clic derecho con el raton para examinarlo
Use RIGHT TRIGGER to interact with and object and press LEFT TRIGGER to examine it,Utilice el GATILLO DERECHO para interactuar con un objeto y presione el GATILLO IZQUIERDO para examinarlo
Holding down SHIFT will highlight all interactable objects in view,Mantener presionada la tecla MAYUS resaltara todos los objetos interactuables en la vista
Some objects are hidden and won't be highlighted until they are spotted,Algunos objetos estan ocultos y no se resaltaran hasta que se detecten.
Holding down LEFT TRIGGER will highlight all interactable objects in view,Mantener presionado el GATILLO IZQUIERDO resaltara todos los objetos interactuables en la vista
Inventory,Inventario
"If you've not already done so, you must equip a weapon","Si aun no lo has hecho, debes equipar un arma."
Press 'E' to manage your equipment,Presiona 'E' para administrar tu equipo
Clicking an item selects and examines it,"Al hacer clic en un elemento, lo selecciona y lo examina."
Select items using the cursor to examine and use it,Seleccione elementos usando el cursor para examinarlos y utilizarlos
Press the X BUTTON on the controller to manage your equipment,Presiona el BOTON X en el controlador para administrar tu equipo
Double click on items to use them,doble clic en los elementos para usarlos.
For weapons and armor this means the item becomes equipped,"Para armas y armaduras, esto significa que el objeto queda equipado."
Equipped items are moved to the relevant equipment slot,Los elementos equipados se mueven a la ranura de equipo correspondiente.
"Select an item and press the A BUTTON to ""use"" it","Seleccione un elemento y presione el BOTON A para ""usarlo"""
Note that you can also press RIGHT TRIGGER with the cursor over a selected item to use it,Tenga en cuenta que tambien puede presionar el GATILLO DERECHO con el cursor sobre un elemento seleccionado para usarlo
Movement Points,Puntos de movimiento
The widget on the lower right side represents the character’s action points,El widget en la parte inferior derecha representa los puntos de accion del personaje.
The yellow pips represent Movement points,Los puntos amarillos representan puntos de movimiento.
The violet pips represent Attacks,Las pepitas violetas representan ataques.
You can move a number of tiles each combat equal to your Movement Points AND Attacks,Puedes mover una cantidad de fichas en cada combate igual a tus Puntos de Movimiento Y Ataques.
But spending Attacks to move means you won't be able to attack that turn,Pero gastar Ataques para moverte significa que no podras atacar ese turno.
This is a good way of moving extra far,Esta es una buena manera de llegar mas lejos.
Performing an attack will clear out all remaining movement points,Realizar un ataque eliminara todos los puntos de movimiento restantes.
"In other words, attacking will end the character’s turn in most cases","En otras palabras, atacar terminara el turno del personaje en la mayoria de los casos."
New Character,Nuevo personaje
You’ve added a new character to your party!,¡Has añadido un nuevo personaje a tu grupo!
"Press ""Q"" or the character portraits to swap the party leader","Presiona ""Q"" o los retratos de los personajes para cambiar al lider del grupo."
Press RIGHT BUMPER or the character portraits to swap the party leader,Presiona el PARACHOQUES DERECHO o los retratos de los personajes para cambiar al lider del grupo.
The current leader’s Attributes are used for tests outside combat (such as for Awareness or Stealth,Los atributos del lider actual se utilizan para pruebas fuera del combate (como Conciencia o Sigilo).
Familiarize yourself with the Attributes and Abilities of your party members and have the right character take the lead depending on the circumstances,Familiarizate con los atributos y habilidades de los miembros de tu grupo y haz que el personaje adecuado tome el liderazgo segun las circunstancias.
"When a new member joins your party, they Level Up to your current level","Cuando un nuevo miembro se une a tu grupo, sube de nivel a tu nivel actual."
The “Level Up” icon on your party-member’s portrait shows that a character is ready to level up!,"¡El icono ""Subir de nivel"" en el retrato de un miembro de tu grupo muestra que un personaje esta listo para subir de nivel!"
Double-click the character portrait and select FEATS to begin leveling up,doble clic en el retrato del personaje y selecciona HAZAÑAS para comenzar a subir de nivel.
Press the X BUTTON and go to the FEATS tab to begin leveling up,Presiona el BOTON X y ve a la pestaña HAZAÑAS para comenzar a subir de nivel.
Stealth,Sigilo
Press the Hide button to go into Stealth mode,Presiona el boton Ocultar para pasar al modo Sigilo
The action buttons also map to the numerical buttons,Los botones de accion tambien se asignan a los botones numericos.
You may also press LEFT JOYSTICK to enter stealth mode,Tambien puedes presionar el JOYSTICK IZQUIERDO para ingresar al modo sigiloso
While in stealth mode the Stealth indicator becomes visible,"Mientras esta en modo sigiloso, el indicador de sigilo se vuelve visible."
A yellow indicator means you're in danger of being spotted,Un indicador amarillo significa que estas en peligro de ser detectado.
"While your indicator is yellow, it will count down to 0%","Mientras el indicador este amarillo, realizara una cuenta regresiva hasta el 0 %."
When it reaches 0% you are spotted and will become visible,Cuando llegue al 0% seras detectado y te volveras visible.
Moving in lit areas and being close to other characters will make the counter go down very fast,Moverse en areas iluminadas y estar cerca de otros personajes hara que el contador baje muy rapido.
Stick to shadows and avoid other characters,Quedate en las sombras y evita a otros personajes.
Your ability to stay hidden is dictated by your stealth skill,Tu capacidad para permanecer oculto esta determinada por tu habilidad de sigilo.
Increase this skill to stay hidden for longer,Aumenta esta habilidad para permanecer oculto durante mas tiempo.
Wearing armor makes it harder to stay hidden,Usar armadura hace que sea mas dificil permanecer oculto.
"If the indicator turns green, it means you are no longer in danger of being spotted","Si el indicador se vuelve verde, significa que ya no corres peligro de ser detectado."
"Spending time in ""green"" areas will refill your stealth meter","Pasar tiempo en areas ""verdes"" recargara tu medidor de sigilo."
#Misc,#Miscelaneos
Crafting,Elaboracion
This is the Crafting screen,Esta es la pantalla de elaboracion
"To create new items, double-click ingredients in your inventory to place them in the “Workstation” and then press “Craft","Para crear nuevos articulos, haz doble clic en los ingredientes de tu inventario para colocarlos en la “Estacion de trabajo” y luego presiona “Crear”."
"If the recipe is valid, new items will be created",Si la receta es valida se crearan nuevos articulos.
"To create new items, place ingredients in the “Workstation” grid and then press “Craft","Para crear nuevos articulos, coloque los ingredientes en la cuadricula “Estacion de trabajo” y luego presione “Elaborar”."
The recipe list in the left column represents known recipes,La lista de recetas en la columna de la izquierda representa recetas conocidas.
You learn new recipes by experimenting or by finding recipe books out in the world,Aprendes nuevas recetas experimentando o encontrando libros de recetas en el mundo.
Recipes that can currently be crafted are shown in green,Las recetas que se pueden elaborar actualmente se muestran en verde.
Selecting a green recipe will automatically add all the necessary ingredients to the “Workstation,Al seleccionar una receta verde se agregaran automaticamente todos los ingredientes necesarios a la “Estacion de trabajo”.
Crafting is dependent on the Crafting skill,La elaboracion depende de la habilidad de elaboracion.
"Crafting a valid recipe will always succeed but depending on your skill and the recipe’s difficulty, there is a chance you may produce more than one item","Elaborar una receta valida siempre tendra exito, pero dependiendo de tu habilidad y la dificultad de la receta, existe la posibilidad de que puedas producir mas de un articulo."
Resting,Descansando
This is the Camp screen,Esta es la pantalla del Campamento
Use it to feed the party and select camp activities for the party members before resting,Uselo para alimentar al grupo y seleccionar actividades de campamento para los miembros del grupo antes de descansar.
"By default, the game always auto-saves when you make camp","De forma predeterminada, el juego siempre se guarda automaticamente cuando haces un campamento."
"To fully recover from injuries, your party members must be well fed","Para recuperarse completamente de las lesiones, los miembros de tu grupo deben estar bien alimentados."
Normally 10 points of food is required per party member to recover 100%,Normalmente se requieren 10 puntos de comida por miembro del grupo para recuperar el 100%.
If less than the required amount is added your party will only recover partially,"Si se agrega menos de la cantidad requerida, su grupo solo recuperara parcialmente"
Add food from your inventory by double clicking it,Añade comida de tu inventario haciendo doble clic en ella
Note that prepared meals add a lot more food per item than raw ingredients,Tenga en cuenta que las comidas preparadas agregan muchos mas alimentos por articulo que los ingredientes crudos.
Seek out crafting stations to craft meals from raw ingredients,Busca estaciones de elaboracion para elaborar comidas a partir de ingredientes crudos.
Select food from your inventory for your party to eat,Selecciona comida de tu inventario para que tu grupo la coma.
You also need to select Camp Activities for your party members,Tambien debes seleccionar Actividades de campamento para los miembros de tu grupo.
These provide bonuses based on your character's skills,Estos proporcionan bonificaciones basadas en las habilidades de tu personaje.
Beds and Inns,Camas y posadas
Keep an eye out for beds or inns to rest in while adventuring,Este atento a las camas o posadas para descansar mientras se aventura.
Doing so is superior to sleeping in the wild,Hacerlo es mejor que dormir en la naturaleza.
"While resting at an inn or in a bed, you have the option to manage your party!","Mientras descansas en una posada o en una cama, ¡tienes la opcion de gestionar tu grupo!"
"This means you can choose what characters get to be part of your main party, and who should wait in camp",Esto significa que puedes elegir que personajes seran parte de tu grupo principal y quien debe esperar en el campamento.
Camp followers do not earn XP and never participate in combat,Los seguidores del campamento no ganan XP y nunca participan en el combate.
Camp followers will for the most part not engage in the narrative,Los seguidores del campamento en su mayoria no participaran en la narrativa.
"There are a few exceptions to this however, and there are some cases where even characters outside your main party may chime in during conversations","Sin embargo, hay algunas excepciones a esto y hay algunos casos en los que incluso personajes fuera de tu grupo principal pueden intervenir durante las conversaciones."
Sailing,Navegacion
"While sailing on the overland map, the “Make Camp” button changes appearance","Mientras navegas por el mapa terrestre, el boton ""Hacer campamento"" cambia de apariencia"
Click it to explore the ship you’re currently on,Haz clic para explorar el barco en el que estas actualmente.
Press it to explore the ship you’re currently on,Presionalo para explorar el barco en el que estas actualmente.
"While on the ship, it’s possible to rest and reorganize, cook, craft items and even do some limited bartering","Mientras estes en el barco, es posible descansar y reorganizarse, cocinar, fabricar articulos e incluso hacer algunos trueques limitados."
There may also be characters to talk to,Tambien puede haber personajes con los que hablar.
"When you’re done interacting with the ship and crew, interact with the ship’s helm to go back to the overland map","Cuando hayas terminado de interactuar con el barco y la tripulacion, interactua con el timon del barco para volver al mapa terrestre."
