original,translation
Attribute - Misc,Atributo - Varios
A bonus in pounds added to the character’s Carrying Capacity,Una bonificación en libras añadida a la Capacidad de Carga del personaje.
GUILDER,FLORIN
"Like so many of the Empires young and promising, you were recruited into guild service at a fairly early age","Como muchos de los prometedores jóvenes del Imperios, fuiste reclutado por el gremio a una edad bastante temprana."
"As the saying goes, work for the illustrious guilds tends to leave you with 'gold in your purse and blood on your hands'","Como dice el refrán, trabajar para los gremios ilustres suele dejarte «oro en la bolsa y sangre en las manos»."
+1 Crafting,+1 Elaboracion
CRAFTING,ARTESANIA
Crafting is used when creating items at crafting stations,Crafting se utiliza para crear objetos en las estaciones de artesanía.
LABORER,OBRERO
You’ve spent years toiling under the oppressive yoke of hard labor,Has pasado años esforzándote bajo el opresivo yugo de los trabajos forzados
"Though it may not have left you with much coin in your pocket, it has given you an unnatural resistance to hardship","Aunque puede que no te haya dejado muchas monedas en el bolsillo, te ha dado una resistencia antinatural a las penurias"
+1 Toughness,+1 Dureza
TOUGHNESS,TENACIDAD
The character’s ability to withstand adverse physical effects such as disease and poison,"Capacidad del personaje para resistir efectos físicos adversos, como enfermedades y venenos."
MONASTIC,MONASTICO
You have served one of the holy orders of the Empire from the safety of one of its walled monastic communities,Has servido a una de las órdenes sagradas del Imperio desde la seguridad de una de sus comunidades monásticas amuralladas
Pray the world has not grown too cruel in your absence,Reza para que el mundo no se haya vuelto demasiado cruel en tu ausencia
+1 Healing,+1 Curacion
HEALING,CURACION
Healing is used in camp to increase the rate of wound recovery for wounded characters,La curación se utiliza en el campamento para aumentar la velocidad de recuperación de las heridas de los personajes heridos.
It also influences the amount of vitality regained from healing potions and is used in dialogue tests when dealing with medical issues and such,También influye en la cantidad de vitalidad recuperada de las pociones curativas y se utiliza en las pruebas de diálogo cuando se trata de cuestiones médicas y similares.
VITALITY,VITALIDAD
Attribute - Secondary,Atributo - Secundario
Vitality describes the amount of damage a character can take before becoming seriously wounded,La vitalidad describe la cantidad de daño que puede recibir un personaje antes de resultar gravemente herido.
Vitality is fairly easily regained through the use of consumable items and spells,La vitalidad se recupera con bastante facilidad mediante el uso de objetos consumibles y hechizos.
NOMAD,NOMADA
"You’ve spent years across the seas, living with the desert nomads","Has pasado años cruzando los mares, viviendo con los nómadas del desierto"
"Though ever the outsider, the nomads deemed you trust-worthy enough to become an initiate in the mysteries of their pagan fire-worship",Los nómadas te consideraron digno de confianza para iniciarte en los misterios de su culto pagano al fuego...
+25% Fire Damage Resistance,+25% Resistencia al Daño de Fuego
FIRE DAMAGE RESISTANCE,RESISTENCIA A DAÑOS POR FUEGO
Attribute - Resistance,Atributo - Resistencia
Damage Resistance reduces incoming Damage of the indicated type by a percentage amount equal to the attribute value,La Resistencia al Daño reduce el Daño recibido del tipo indicado en un porcentaje igual al valor del atributo.
A value of 100% or higher means immunity to this damage type,Un valor de 100% o superior significa inmunidad a este tipo de daño
A negative value means a vulnerability to the damage type,Un valor negativo significa una vulnerabilidad al tipo de daño
"If this is the case, incoming Damage will be increased","En ese caso, los daños entrantes aumentarán."
SAILOR,MARINERO
You’ve heard the call of the Mother of Maelstroms and salt water now runs in your veins,Has oído la llamada de la Madre de los Maelstroms y ahora corre agua salada por tus venas
"Whether on the deck of a Guilder caravel or manning the sails of a meager fishing sloop, you feel most at home when you’re at sea","Ya sea en la cubierta de una carabela Guilder o manejando las velas de un mísero balandro de pesca, uno se siente como en casa cuando está en el mar."
+1 Athletics,+1 Atletismo
ATHLETICS,ATLETISMO
SALT,SAL
Food,Comida
Food Val,Food Val
Value,Valor
Weight,Peso
Used in,Utilizado en
"With the once-mighty legions of the Empire in decline, this is an age of sellswords and mercenaries","Con las otrora poderosas legiones del Imperio en declive, ésta es una época de mercenarios y espadachines."
There is no shortage of those willing to pay professionals to wreak violence on others and you are very good at your job,No faltan quienes están dispuestos a pagar a profesionales para que ejerzan la violencia sobre los demás y usted es muy bueno en lo suyo
+3 Vitality,+3 Vitalidad
SNAKE-CULTIST,Cultista de la serpiente
Writhing with serpents in darkened cellars and hidden temples has left you immune to the snake’s kiss,Retorcerte con serpientes en sótanos oscuros y templos ocultos te ha hecho inmune al beso de la serpiente.
+100% Poison Resistance,+100% Resistencia al Veneno
POISON RESISTANCE,RESISTENCIA AL VENENO
Resistance to a condition represents the percentage chance to avoid contracting the condition,La resistencia a una enfermedad representa el porcentaje de probabilidades de evitar contraerla.
An attribute value of 100% or above means immunity to the condition in question,Un valor del atributo igual o superior al 100% significa inmunidad a la enfermedad en cuestión.
STREET RAT,RATA CALLEJERA
Spending your formative years fending for yourself on the hard streets of the Empire’s sprawling cities has left you with a preternatural instinct for surviving,Pasar tus años de formación valiéndote por ti mismo en las duras calles de las extensas ciudades del Imperio te ha dotado de un instinto preternatural para sobrevivir.
No crime is too petty - no meat too mysterious,"Ningún delito es demasiado pequeño, ninguna carne demasiado misteriosa"
+2 Initiative,+2 Iniciativa
INITIATIVE,INICIATIVA
Initiative determines who goes first in combat,La iniciativa determina quién va primero en el combate
THUG,MATON
"Punch first, ask questions later","Golpea primero, pregunta después"
You have perfected the noble art of solving problems with brute force,Has perfeccionado el noble arte de resolver problemas con fuerza bruta
+1 Club Damage Bonus,+1 Bono de Daño por Garrote
CLUB DAMAGE BONUS,BONIFICACIÓN DE DAÑO POR GARROTE
Weapon Damage bonuses increase the Damage dealt when using the indicated Weapon type,Los bonus de Daño de Arma aumentan el Daño infligido al usar el tipo de Arma indicado
VAGABOND,VAGABUNDO
"Having spent most of your teenage years’ on the road, you are a free spirit with no allegiance to any one person or place","Habiendo pasado la mayor parte de su adolescencia en la carretera, es un espíritu libre sin lealtad a ninguna persona o lugar."
"Drifting from place to place, you go where there is work, food and a warm bed to be had","Vas de un lugar a otro, donde hay trabajo, comida y una cama caliente."
+1 Survival,+1 Supervivencia
SURVIVAL,SUPERVIVENCIA
"Survival is used to forage for food, navigate difficult overland terrain and also determines a character's general knowledge of nature","La supervivencia se utiliza para buscar comida, atravesar terrenos difíciles y también determina el conocimiento general de la naturaleza del personaje."
WILDLING,SALVAJE
"As the light of civilization fades, the vast wildernesses of the Empire encroach on the civilized folk","A medida que la luz de la civilización se desvanece, los vastos páramos del Imperio invaden al pueblo civilizado."
Thankfully you don’t count yourself among those,Afortunadamente no te cuentas entre esos
The sky is your temple and the howling of wolves your litany,El cielo es tu templo y el aullido de los lobos tu letanía
Primary Stats,Estadísticas principales
Agility,Agilidad
Intellect,Intelecto
Presence,Presencia
Strength,Fuerza
Skills,Habilidades
Athletics,Atletismo
Awareness,Conciencia
Crafting,Elaboracion
Diplomacy,Diplomacia
Healing,Curación
Lore,Conocimiento
Stealth,Sigilo
Survival,Supervivencia
Thievery,Robo
Secondary Stats,Estadísticas secundarias
Combat Stats,Estadísticas de combate
Crit Chance,Probabilidad de Crit
Initiative,Iniciativa
Melee To Hit,Cuerpo a cuerpo para golpear
Ranged To Hit,A distancia Para golpear
Defences,Defensas
Dodge,Esquivar
Toughness,Tenacidad
Willpower,Fuerza de voluntad
Select an entry!,Seleccionar un ¡ Entrada !
Primary Attributes and Skills,Atributos y competencias principales
Distribute points to your PRIMARY ATTRIBUTES and SKILLS,Distribuye los puntos entre tus ATRIBUTOS PRIMARIOS y tus HABILIDADES
These go a long way towards defining your character mechanically,Esto contribuye en gran medida a definir mecánicamente a tu personaje
SECONDARY STATS,ESTADÍSTICAS SECUNDARIAS
Secondary attributes that tend to vary during play,Atributos secundarios que tienden a variar durante el juego
SKILLS,HABILIDADES
Skills are derived from primary attributes and are used to perform most non-combat tasks in the game,Las habilidades se derivan de los atributos primarios y se utilizan para realizar la mayoría de las tareas no relacionadas con el combate.
TOTAL,TOTAL
FORTITUDE,FORTALEZA
Describes how tough and resilient a character is,Describe la dureza y resistencia de un personaje
WOUNDS,HERIDAS
Ranks,Rangos
RANKS,RANGOS
COMBAT STATS,ESTADISTICAS DE COMBATE
Derived attributes that are used during combat,Atributos derivados que se utilizan durante el combate
CRIT CHANCE,OPORTUNIDAD DE CRITICO
Describes the percentage of Hits that are upgraded to Critical Hits,Describe el porcentaje de impactos que se convierten en críticos.
CRITICAL HIT,GOLPE CRITICO
"For each successful Attack, there is a chance the Hit is upgraded to a Critical Hit","Por cada ataque exitoso, hay una posibilidad de que el golpe se convierta en crítico."
This is a percentage chance equal to the attacker’s Crit Chance Attribute,Se trata de un porcentaje de probabilidad igual al atributo de probabilidad de crítico del atacante.
"If a Critical Hit is confirmed, the Damage dealt is multiplied by the Weapon’s Crit. value","Si se confirma un Golpe Crítico, el Daño infligido se multiplica por el valor de Crítico del Arma."
"For instance a Weapon with a Crit. value of, multiplies the Damage dealt in a Critical Hit by","Por ejemplo, un Arma con un valor de Crit. de, multiplica el Daño infligido en un Golpe Crítico por"
MELEE DMG,DAÑO CUERPO A CUERPO
This is added to the current weapon's damage range for a total damage range,Esto se añade al alcance de daño del arma actual para un alcance de daño total
Counts encumberance from Armor,Contabiliza el gravamen de la Armadura
Defences are used to defend against attacks and negative effects,Las defensas sirven para defenderse de los ataques y los efectos negativos
WILLPOWER,FUERZA DE VOLUNTAD
Willpower describes a character’s ability to withstand mind-affecting conditions such as those caused by spells,"La fuerza de voluntad describe la capacidad de un personaje para resistir condiciones que afectan a la mente, como las causadas por hechizos."
This attribute influences,Este atributo influye en
Main Attribute,Atributo principal
Counts encumberance from Headwear,Contabiliza los gastos de Headwear
Counts encumberance from Gloves,Cuenta estorbo de Guantes
Counts encumberance from Armor and Footwear,Cuenta estorbo de Armaduras y Calzado
Abilities,Habilidades
ABILITIES,HABILIDADES
These are the Feats derived from your class,Estas son las proezas derivadas de tu clase
Distribute your Development Points in them to gain benefits and new Abilities,Distribuye tus Puntos de Desarrollo en ellos para obtener beneficios y nuevas Habilidades.
Ranks to Distribute,Rangos a Distribuir
Armsmaster Feats,Proezas de Maestro de Armas
Not Today!,¡Hoy no!
NOT TODAY!,¡HOY NO!
Triggered Ability,Capacidad de activación
Targets,Objetivos
Self,Personal
Smashing Charge,Carga aplastante
Enemies,Enemigos
Allies,Aliados
Anyone,Cualquiera
AoE,Area de efecto
Melee,Cuerpo a cuerpo
Your Charges cause 1-3 additional Blunt Damage,Tus Cargas causan 1-3 de Daño Contundente adicional
Killing an opponent using a Heavy Melee Weapon restores 1 Attack,Matar a un oponente con un arma pesada cuerpo a cuerpo restaura 1 ataque.
SWORD EXPERT,EXPERTO EN ESPADA
Deep Cut,Corte profundo
Your Critical Hits using Blades cause Bleeding on your target,Tus Golpes Críticos usando Cuchillas causan Sangrado en tu objetivo
Critical Hits with a Club causes The Injured Leg condition,Los Golpes Críticos con un Garrote causan la condición La Pierna Herida
AXE EXPERT,EXPERTO EN HACHAS
Rending Blow,Golpe desgarrador
RENDING BLOW,GOLPE DESGARRADOR
Critical Hits with an Axe causes Injury Conditions,Los golpes críticos con un hacha causan condiciones de lesión
ARCHERY EXPERT,EXPERTO EN ARQUERÍA
ARCHERY MASTER,MAESTRO DE ARQUERIA
Rapid Reload,Recarga rapida
RAPID RELOAD,RECARGA RAPIDA
"If you score a Critical Hit with a Bow, you immediately regain 1 attack","Si consigues un Golpe Crítico con un Arco, recuperas inmediatamente 1 ataque"
AXE MASTER,MAESTRO DEL HACHA
Decapitation,Decapitacion
DECAPITATION,DECAPITACION
AllEnemies,Todos los enemigos
The gruesomeness of your Axe-Kill causes the Fear condition in all opponents who can see it,La horripilancia de tu Hacha-Matanza provoca la condición Miedo en todos los oponentes que puedan verla.
CLUB MASTER,MAESTRO DEL GARROTE
SHIELD MASTER,MAESTRO DEL ESCUDO
Shield Slam,Golpe con escudo
SHIELD SLAM,Golpe con escudo
"Whilst wielding a shield, dodging a melee attack causes you to deal 1-4 Blunt damage to your attacker","Mientras empuñas un escudo, al esquivar un ataque cuerpo a cuerpo infliges de 1 a 4 puntos de daño contundente a tu atacante."
SWORD MASTER,MAESTRO DE LA ESPADA
MEDIUM ARMOR MASTERY,MAESTRÍA EN ARMADURA MEDIA
BLOODTHIRSTY,SANGUINARIO
HEAVY ARMOR MASTERY,MAESTRIA EN ARMADURA PESADA
Cannot place Rank,No se puede colocar Rango
The maximum number of ranks have been placed for this Feat!,¡Se ha colocado el número máximo de rangos para esta Hazaña!
You don't have any ranks to distribute,No tienes rangos para distribuir
Level up to gain ranks!,¡Sube de nivel para ganar rangos!
Gender,Genero
Empty,Vacio
Male,Masculino
Portrait,Retrato
Hair Style,Peinado
Style,Estilo
Facial Hair,Vello facial
Hair Color,Color de cabello
Skin Tone,Tono de piel
Main Color,Color principal
Secondary Color,Color secundario
Tertiary Color,Color terciario
Randomize,Aleatorizar
Customize Appearance,Personalizar Apariencia
You can use this screen to customize your characters physical appearance,Puedes utilizar esta pantalla para personalizar el aspecto físico de tus personajes
Note that changes made here are purely cosmetic,Ten en cuenta que los cambios realizados aquí son puramente cosméticos
Finalize your character by editing their appearance,Finaliza tu personaje editando su apariencia
Female,Femenino
Type a name and press 'Continue'!,Escribe un nombre y pulsa ‘Continuar’
Name must be between 3 and 10 characters long and may only contain standard English letters (A-Z,El nombre debe tener entre 3 y 10 caracteres y sólo puede contener letras inglesas estándar (A-Z)
You must destribute all your attribute points before you can proceed!,Debes destribuir todos tus puntos de atributo antes de poder continuar
