original,Traducido
"When casting a spell, the caster tests their Spell Aptitude test against the Cascade Difficulty of the spell","Cuando se lanza un hechizo, el lanzador hace una prueba de Aptitud de Hechizo contra la Dificultad de Cascada del hechizo"
"If they succeed, they get to take another action","Si tiene éxito, puede realizar otra acción"
If they fail their turn ends,"Si falla, su turno termina"
This allows casters to chain spells together,Esto permite a los lanzadores encadenar hechizos
A caster can cascade a number of spells together equal to their Max Cascade attribute,Un lanzador puede encadenar un número de hechizos igual a su atributo de Cascada Máxima
Charging,Cargar
Moving at least 2 tiles in a straight line before performing an attack allows characters with a Melee weapon to perform a Charge Attack,Moverse al menos 2 casillas en línea recta antes de realizar un ataque permite a los personajes con un arma cuerpo a cuerpo realizar un Ataque de Carga
Charge attacks add a bonus to your hit chance depending on how far you manage to move before attacking,Los ataques de carga añaden una bonificación a tu probabilidad de golpe dependiendo de lo lejos que consigas moverte antes de atacar
Critical Hit,Golpe Crítico
"For each successful Attack, there is a chance the Hit is upgraded to a Critical Hit","Por cada Ataque exitoso, hay una posibilidad de que el Golpe se convierta en un Golpe Crítico"
This is a percentage chance equal to the attacker’s Crit Chance Attribute,Esta es una posibilidad porcentual igual al Atributo Crit Chance del atacante
"If a Critical Hit is confirmed, the Damage dealt is multiplied by the Weapon’s Crit. value","Si se confirma un Golpe Crítico, el Daño infligido se multiplica por el valor Crit. del Arma. del Arma"
"For instance a Weapon with a Crit. value of, multiplies the Damage dealt in a Critical Hit by","Por ejemplo, un Arma con un valor de Crit. de, multiplica el Daño infligido en un Golpe Crítico por"
Defence Roll,Tirada de Defensa
The Defence Roll is,La Tirada de Defensa es
2d6 + Misc Bonuses + Dodge,2d6 + Bonificadores Varios + Esquiva
Development Points,Puntos de Desarrollo
Development Points are gained when leveling up and used to buy ranks in Feats,Los Puntos de Desarrollo se ganan al subir de nivel y se usan para comprar rangos en Hazañas
This unlocks new Abilities for the Character making them more powerful,Esto desbloquea nuevas Habilidades para el Personaje haciéndolas más poderosas
Difficulty,Dificultad
The Difficulty Class or DC of a test is the number a character must roll equal to or higher than to succeed,La Clase de Dificultad o DC de una prueba es el número que un personaje debe sacar igual o mayor para tener éxito
Disengage,Desengancharse
"If a character who is within melee range of an active opponent tries to move away, they Disengage","Si un personaje que está dentro del alcance cuerpo a cuerpo de un oponente activo intenta alejarse, se desengancha"
Normally this means the Disengaging character immediately ends their turn,Normalmente esto significa que el personaje que se desengancha termina inmediatamente su turno
Enc,Enc
Encumbrance,Gravamen
Encumbrance is a measure of how much your armor and equipment reduces your ability to act freely,El gravamen es una medida de cuánto reducen tu armadura y tu equipo tu capacidad de actuar libremente
Different item slots affect different skills,Diferentes ranuras de objetos afectan a diferentes habilidades
"Armor affects Dodge, Stealth and Athletics","La armadura afecta a la Esquiva, el Sigilo y el Atletismo"
Headwear and helmets affect Awareness,Los cascos y gorros afectan a la Conciencia
Gloves affect Thievery,Los guantes afectan al Robo
Footwear affects Stealth,El calzado afecta al Sigilo
"Examine the different Attributes under the ‘Attributes’ tab to see if, and how much they are being affected by items worn","Examina los diferentes Atributos en la pestaña “Atributos” para ver si, y en qué medida se ven afectados por los objetos que se llevan"
Flanking,Flanqueo
A character can be Flanked if opponents occupy the tile above and below it or to the left and right of it,Un personaje puede ser Flanqueado si sus oponentes ocupan la baldosa por encima y por debajo de él o a la izquierda y a la derecha de él
Attacking a Flanked target allows the Attacker to add their Flanking Bonus to the Attack Roll,Atacar a un objetivo Flanqueado permite al Atacante sumar su Bonificación de Flanqueo a la Tirada de Ataque
Rogues may Backstab Flanked Characters,Los Pícaros pueden Apuñalar por la espalda a los Personajes Flanqueados
Initiative Order,Orden de Iniciativa
Every Combat Encounter begins with all combatants making an Initiative Roll,Cada encuentro de combate comienza con una tirada de iniciativa de todos los combatientes
This is calculated by adding 2d6 to the character’s Initiative Attribute,Se calcula sumando 2d6 al atributo de iniciativa del personaje
Characters then act in descending order of initiative,"A continuación, los personajes actúan en orden descendente de iniciativa"
Characters who are not alert as combat begins gain a severe penalty to their Initiative Roll,Los personajes que no estén alerta al comenzar el combate sufren una penalización importante a su tirada de iniciativa
Main Attribute,Atributo principal
The Main Attribute is the Attribute that is the most important for this Class,El Atributo Principal es el Atributo más importante para esta Clase
Saving Throw,Tiro de Salvación
A Saving Throw is a roll using an Attribute against some Difficulty number to avoid receiving or canceling some ongoing negative effect,Un Tiro de Salvación es una tirada usando un Atributo contra algún número de Dificultad para evitar recibir o cancelar algún efecto negativo en curso
Silenced,Silenciado
"A character with this status tag cannot use, or be affected by, Abilities or Spells that require them to be able to speak","Un personaje con esta etiqueta de estado no puede usar, o ser afectado por, Habilidades o Hechizos que requieran que sea capaz de hablar"
Soak,Remojo
Soak is a measure of damage absorption,El Remojo es una medida de absorción de daño
It is usually conferred by Armor,Suele ser conferido por la Armadura
Some creatures also have natural Soak due to thick hides,Algunas criaturas también tienen Remojo natural debido a sus gruesas pieles
"For every physical attack scored on the character, the damage is reduced by a random amount ranging from 0 to the character’s combined Soak","Por cada ataque físico realizado sobre el personaje, el daño se reduce en una cantidad aleatoria que va desde 0 hasta el Remojo combinado del personaje"
See also,Ver también
Spell Tier,Nivel de Hechizo
"By studying different Schools of Spellcasting, a character gains Spell Tiers in that School","Estudiando diferentes Escuelas de Hechizo, un personaje gana Niveles de Hechizo en esa Escuela"
Spell Tiers qualify a character to learn spells and different spells have different Tier requirements,Los Niveles de Hechizo califican a un personaje para aprender hechizos y diferentes hechizos tienen diferentes requisitos de Nivel
Status Tags,Etiquetas de Estado
Status Tags are conferred by Conditions and used by the system to dictate player behavior,Las Etiquetas de Estado son conferidas por Condiciones y usadas por el sistema para dictar el comportamiento del jugador
Afraid,Miedo
Characters who are afraid are more susceptible to panicking,Los personajes que tienen miedo son más susceptibles a entrar en pánico
Asleep,Dormido
A character with this status tag is Vulnerable and does not act during their combat turn,Un personaje con esta etiqueta de estado es Vulnerable y no actúa durante su turno de combate
Sleeping characters are much easier to sneak past and surprise,Los personajes dormidos son mucho más fáciles de esquivar y sorprender
Bleeding,Hemorragia
A character with this status tag will take a random amount of damage at the start of each turn ranging from 1 to 10% of their Maximum Vitality until the Bleeding is stopped,Un personaje con esta etiqueta de estado recibirá una cantidad aleatoria de daño al comienzo de cada turno que oscila entre el 1 y el 10% de su Vitalidad Máxima hasta que se detenga la Hemorragia
Blindness,Ceguera
"A character with this status tag cannot use, or be affected by, Abilities or Spells that require them to see","Un personaje con esta etiqueta de estado no puede usar, ni ser afectado por Habilidades o Hechizos que requieran que vea"
Charmed,Embrujado
A character with this status tag does not act during their turn,Un personaje con esta etiqueta de estado no actúa durante su turno
Confusion,Confusión
Deafness,Sordera
"A character with this status tag cannot use, or be affected by, Abilities or Spells that require them to hear","Un personaje con esta etiqueta de estado no puede usar, o ser afectado por, Habilidades o Hechizos que requieran que oiga"
Defenceless,Indefenso
A Status Tag indicating that the character cannot defend themselves,Una Etiqueta de Estado que indica que el personaje no puede defenderse
A Defenseless character is Vulnerable,Un personaje Indefenso es Vulnerable
Defending,Defendiendo
A Status Tag indicating that the character spends their entire combat turn fighting defensively,Una Etiqueta de Estado que indica que el personaje pasa todo su turno de combate luchando a la defensiva
They take no other actions and add their Defend Bonus attribute to their Dodge Attribute when making Defence Rolls,No realiza ninguna otra acción y suma su atributo de Bonificación por Defensa a su Atributo de Esquiva cuando hace Tiradas de Defensa
Disease,Enfermedad
A Status Tag indicating that the character is affected by one or more diseases,Una Etiqueta de Estado que indica que el personaje está afectado por una o más enfermedades
FlatFooted,Pie Plano
A Status Tag indicating that the character is off their guard,Una etiqueta de estado que indica que el personaje está fuera de guardia
As such they are Vulnerable,"Como tal, es Vulnerable"
Immobile,Inmovilizado
A Status Tag indicating that the character cannot move around,Una etiqueta de estado que indica que el personaje no puede moverse
They may still be able to take other actions and fight but are nonetheless Vulnerable,"Aún puede realizar otras acciones y luchar, pero es Vulnerable"
Insanity,Locura
A character with this status tag does not act in their combat turn,Un personaje con esta etiqueta de estado no actúa en su turno de combate
Intoxicated,Intoxicado
A Status Tag indicating that the character has become #Intoxicated by drugs or alcohol,Una etiqueta de estado que indica que el personaje se ha #Intoxicado por drogas o alcohol
Invisible,Invisible
A character with this status tag will not be spotted until they attack an opponent or use a spell or ability,Un personaje con esta etiqueta de estado no será detectado hasta que ataque a un oponente o utilice un hechizo o habilidad
Marked,Marcado
This status tag typically interacts with other abilities,Esta etiqueta de estado suele interactuar con otras habilidades
Occupied,Ocupado
A Status Tag indicating that the character is not able to act during their combat turn,Una etiqueta de estado que indica que el personaje no puede actuar durante su turno de combate
Paralysis,Parálisis
A Status Tag indicating that the character is unable to move or act in any way,Una etiqueta de estado que indica que el personaje no puede moverse ni actuar de ninguna forma
"While in this state, they are Vulnerable","Mientras se encuentre en este estado, son Vulnerables"
Poison,Veneno
A character with this status tag will take a random amount of damage at the start of each turn ranging from 1 to 10% of their Maximum Vitality until the Poisoning is cured,Un personaje con esta etiqueta de estado recibirá una cantidad aleatoria de daño al inicio de cada turno que oscila entre el 1 y el 10% de su Vitalidad Máxima hasta que se cure el Envenenamiento
Stun,Aturdido
A character with this status tag cannot act during their combat turn,Un personaje con esta etiqueta de estado no puede actuar durante su turno de combate
They are also vulnerable for the duration,También son vulnerables durante la duración
To-Hit Roll,Tirada Para Golpear La tirada Para Golpear indica que el personaje no puede actuar durante su turno de combate. Tirada para golpear
The To-Hit roll is made by comparing the Attacker’s Attack Roll to the Defender’s Defence Roll,La tirada para golpear se hace comparando la tirada de ataque del atacante con la tirada de defensa del defensor
If the Attacker rolls equal to or higher than the Defence Roll the attack is a hit,"Si el atacante obtiene una tirada igual o superior a la tirada de defensa, el ataque es un golpe"
Tough,Dureza
Short for Toughness,Corto para dureza
Vitality per Level,Vitalidad por nivel
"Indicates how much of the game’s Hitpoint resource, Vitality, is gained every time the character levels up","Indica cuánto del recurso de puntos de golpe del juego, Vitalidad, se gana cada vez que el personaje sube de nivel"
Vulnerable,Vulnerable
A Vulnerable character cannot defend themselves,Un personaje Vulnerable no puede defenderse
This makes them much easier to hit and it also means they can be Backstabbed,Esto hace que sean mucho más fáciles de golpear y también significa que pueden ser Apuñalados por la espalda.
Will,Voluntad
See Willpower,Ver Fuerza de voluntad
