original,traducido
Rhino Beetle,Escarabajo rinoceronte
Carrion Crawler,Carroñero
Giant Centipede,Ciempies gigante
Fell Crab,Cangrejo caido
Corpse Eater,Devorador de cadaveres
Giant Crab,Cangrejo gigante
Crab,Cangrejo
Rot Crab,Cangrejo podrido
Spider Crab,Cangrejo araña
Brood Guard,Guardia de cria
Father,Padre
Deep One Priestess,Sacerdotisa de lo Profundo
Deep One Queen,Reina Profunda
Deep One Warrior,Guerrero Profundo
Devolved,Descentralizado
Ghoul,Demonio necrofago
Frost Ghoul,Necrofago de escarcha
Giant Gnat,Mosquito gigante
Cave Gnat,Mosquito de cueva
Fell Hog,Cerdo caido
Dire Hound,Perro terrible
Fell Hound,Perro de caza
Ice Hound,Sabueso de hielo
Ice Strider,Caminante de hielo
Shadow Stalker,Acechador de sombras
Giant Leech,Sanguijuela gigante
Albino Leech,Sanguijuela albina
Bloodletter,Sangrador
Fell Lizard,Lagarto caido
Alpha Lizard,Lagarto Alfa
Giant Lizard,Lagarto gigante
Ice Salamander,Salamandra de hielo
Mold Child,Niño con moho
Ooze,Rezumar
Flesh Ooze,Supuracion de carne
Medusa Jelly,Medusa Jelly
Risen Ooze,Risen Ooze
Magma Ooze,Magma Ooze
Magmite,Magmita
Large Ooze,Gran limo
Giant Rat,Rata gigante
Dire Rat,Rata terrible
Chitters-In-Darkness,Chitters-In-Darkness
Rabid Rat,Rata rabiosa
Shade,Sombra
Dire Serpent,Serpiente terrible
Fell Serpent,Serpiente caida
Giant Snake,Serpiente gigante
Fleshstrider,Caminante de carne
Flying Polyp,Polipo volador
Dragon's Herald,Heraldo del Dragon
Evolved,Evolucionado
Newborne,Recien nacido
Vessel,Buque
Stalker,Acosador
Giant Spider,Araña gigante
Large Spider,Araña grande
Shambler,Desaliñado
Frost Shambler,Caminante de escarcha
#Unique Humanoids,#Humanoides Unicos
Big Lorn,Gran Lorn
Arra the Trader,Arra el comerciante
Doran the Pilot,Doran el piloto
Chef Armand,Chef Armand
Kydeon,Kydeon
The scarred and graying veteran smiles varmly towards you,El veterano canoso y lleno de cicatrices te sonríe malhumorado
Calipero,Calipero
Lyra,Lira
Malachai,Malachai
Driina,Driina
The imposing cleric turns to face you,El imponente clerigo se gira para mirarte
"There's a steely resolve in her eyes, but she gives you a warm, if sad smile by way of greeting","Hay una férrea determinación en sus ojos, pero te dedica una cálida, aunque triste, sonrisa a modo de saludo."
Embla,Embla
Bernard,Bernardo
Barmaid,Camarera
Baroness of Firgol,Baronesa de Firgol
Pert the Beekeeper,Pert el apicultor
Ari,Ari
Cass,Cass
Temmy,Temmy
Jeb,Jeb
Vendor,Proveedor
Klara,Clara
Majordomo,Mayordomo
Drummer,Bateria
Piper,Flautista
Lutist,Laudista
Camilla,Camila
Hierophant Drahl,Hierofante Drahl
Albert,Alberto
Blacksmith,Herrero
Quartermaster,Oficial de intendencia
Clothier,Ropero
Julia,Julia
Ylia,Ylia
Martha,Marta
Frantzo,Frantzo
Captain Vivian,Capitan Vivian
Bobbert the Recruit,Bobbert el recluta
Rat Queen,Reina Rata
Esteban,Esteban
Armand,Armando
Art Peddler,Vendedor ambulante de arte
Merchant,Comerciante
Bor the Sewerjack,Bor el Sewerjack
Cora,Cora
Natia,Natia
Philip,Felipe
Iago,Yago
Dono,Dono
Anto,Anto
Zhara,Zhara
Iben,Iben
Chamberlain,Chambelan
Markus,Marcos
Chamberlain to the governor of Idra,Chambelan del gobernador de Idra
Jakub,Jakub
Ella,Ella
{addVocalBarkLocal|I've too much on my mind right now...},{addVocalBarkLocalTengo demasiadas cosas en la cabeza ahora mismo…}
Giorgy,Giorgy
"A ragged man, caked in dirt","Un hombre harapiento, cubierto de tierra"
Marita,Marita
Lighthouse Keeper,Guardian del faro
Lon,Lon
The camp's cook,El cocinero del campamento
Hannah,Hannah
"On your way through the refugee camp you notice a woman and a pale-looking child huddled together beneath an old, worn blanket","En tu camino por el campo de refugiados, ves a una mujer y a un niño de aspecto pálido acurrucados bajo una manta vieja y gastada."
Shepherd,Pastor
Wreck Picker,Recolector de restos de naufragio
Kat,Gato
Maija,Maija
Andros,Andros
Marsa,Marsa
A young girl,Una jovencita
She's ragged and far to lean but she is smiling from ear to ear as she clutches her stuffed animal,Esta desaliñada y demasiado delgada  pero sonrie de oreja a oreja mientras agarra su animal de peluche
She's ragged and far to lean and looks like she's been crying recently,Está desaliñada y demasiado delgada y parece que ha estado llorando recientemente.
Mother Katak,Madre Katak
"An old, silver-haired crone",Una vieja bruja de pelo plateado
Thomas,Thomas
Oleg the Gray,Oleg el Gris
Red Kala,Kala el Rojo
The Butcher,El Carnicero
Roland,Roland
Snow,Nieve
"The man called ""Snow"" by his crew, was once the first mate of the Zephyr","El hombre llamado ""Nieve"" por su tripulación, fue una vez el primer oficial del Céfiro"
Aaron,Aaron
Leva,Leva
One of the wretched surviors from the Zephyr,Uno de los desdichados supervivientes del Céfiro
"The woman looks torn, tattered and exhausted","La mujer parece desgarrada, andrajosa y exhausta"
"As you approach, she offers a tired, but grateful smile","Al acercarte, te ofrece una sonrisa cansada pero agradecida"
Grigor,Grigor
"The man looks torn, tattered and exhausted","El hombre parece desgarrado, andrajoso y exhausto"
As you approach the sailor shrinks back in terror whilst avoiding your gaze,"Cuando te acercas, el marinero se encoge aterrorizado y evita tu mirada"
"As you approach the sailor offers a tired, but grateful smile","Cuando te acercas, el marinero te ofrece una sonrisa cansada pero agradecida"
Jan,Jan
Andry,Andry
Carylla,Carylla
Tycho,Tycho
The Ancient King,El Rey Antiguo
Joran the Usurper,Joran el Usurpador
