original,traducido
Weapon Damage bonuses increase the Damage dealt when using the indicated Weapon type,Las bonificaciones de daño de armas aumentan el daño infligido al usar el tipo de arma indicado.
Bow Damage Bonus,Bonificación de daño del arco
Club Damage Bonus,Bonificación de daño del club
Heavy Weapon Damage Bonus,Bonificación de daño de armas pesadas
Light Weapon Damage Bonus,Bonificación de daño de armas ligeras
Medium Weapon Damage Bonus,Bonificación de daño de arma media
Polearm Damage Bonus,Bonificación de daño de arma de asta
Sword Damage Bonus,Bonificación de daño de espada
#DamageResistances,#ResistenciasAlDaño
Energy Damage Resistance,Resistencia al daño energético
Damage Resistance reduces incoming Damage of the indicated type by a percentage amount equal to the attribute value,La resistencia al daño reduce el daño entrante del tipo indicado en un porcentaje igual al valor del atributo.
A value of 100% or higher means immunity to this damage type,Un valor del 100% o superior significa inmunidad a este tipo de daño.
A negative value means a vulnerability to the damage type,Un valor negativo significa una vulnerabilidad al tipo de daño.
"If this is the case, incoming Damage will be increased","Si este es el caso, el daño entrante aumentara."
Magical Damage Resistance,Resistencia al daño mágico
Non-Magical Damage Resistance,Resistencia al daño no mágico
Physical Damage Resistance,Resistencia al daño físico
Acid Damage Resistance,Resistencia al daño por ácido
Cold Damage Resistance,Resistencia al daño por frio
Corruption Damage Resistance,Resistencia al daño por corrupción
Electric Damage Resistance,Resistencia al daño eléctrico
Fire Damage Resistance,Resistencia al daño por fuego
Kinetic Damage Resistance,Resistencia al daño cinético
Sublime Damage Resistance,Resistencia sublime al daño
Blunt Damage Resistance,Resistencia al daño contundente
Piercing Damage Resistance,Resistencia al daño perforante
Slashing Damage Resistance,Resistencia al daño cortante
Psychic Damage Resistance,Resistencia al daño psíquico
#Defences,#Defensas
Dodge,Esquivar
DODGE,ESQUIVAR
The ability to avoid incoming attacks and other reflex-based dangers,La capacidad de evitar ataques entrantes y otros peligros basados en reflejos.
"In other words, this determines how hard a character is to hit","En otras palabras, esto determina que tan fuerte es golpear a un personaje."
Toughness,Tenacidad
The character’s ability to withstand adverse physical effects such as disease and poison,La capacidad del personaje para soportar efectos físicos adversos como enfermedades y venenos.
Willpower,Fuerza de voluntad
Willpower describes a character’s ability to withstand mind-affecting conditions such as those caused by spells,"La fuerza de voluntad describe la capacidad de un personaje para soportar condiciones que afectan la mente, como las causadas por hechizos."
#HitBonuses,#Bonificaciones de éxito
Bonus - Axes,Bono - Hachas
Critical bonuses increase your critical chance for the indicated weapon type,Las bonificaciones criticas aumentan tu probabilidad critica para el tipo de arma indicado.
Bonus - Bows,Bono - Arcos
Bonus - Clubs,Bono - Clubes
Bonus Light,Luz de bonificación
This bonus applies to Light Weapons,Esta bonificación se aplica a las armas ligeras.
Bonus - Blades,Bono - Cuchillas
Bonus - Unarmed,Bono - Desarmado
Hit Bonus - Maneuvers,Bonificación de golpe - Maniobras
Maneuver Hit Bonuses are added to the To Hit roll when performing Combat Maneuvers,Las bonificaciones de impacto de maniobra se suman a la tirada para impactar al realizar maniobras de combate.
Hit Bonus - Abominations,Bonificación de golpe - Abominaciones
Creature Hit Bonuses are added to the To Hit roll when attacking the indicated creature type,Las bonificaciones de golpe de criatura se suman a la tirada para golpear cuando se ataca al tipo de criatura indicado.
Hit Bonus - Animals,Bonificación de golpe - Animales
Hit Bonus - Undead,Bonificación de golpe - No muertos
Hit Bonus - Vermin,Bonificación de golpe - Alimañas
Hit Bonus - Axes,Bonificación de golpe - Hachas
Weapon Hit Bonuses are added to the To Hit roll when using weapons of the indicated type,Las bonificaciones de impacto de armas se suman a la tirada para golpear cuando se usan armas del tipo indicado.
Hit Bonus - Bows,Bonificación de golpe - Arcos
Hit Bonus - Clubs,Bonificación de golpe – Garrote
Hit Bonus - Heavy Weap,Bonificación de golpe - Arma pesada
Hit Bonus - Light Weap,Bonificación de golpe - Arma ligera
Hit Bonus - Medium Weap,Bonificación de golpe - Arma mediana
Hit Bonus - Polearms,Bonificación de golpe - Armas de asta
Hit Bonus - Blades,Bonificación de golpe - Cuchillas
Hit Bonus - Unarmed,Bonificación de golpe - Desarmado
#MagicAttributes,#AtributosMagicos
Magical Attributes,Atributos mágicos
MAGICAL ATTRIBUTES,ATRIBUTOS MAGICOS
Attributes involved in spell-casting,Atributos involucrados en el lanzamiento de hechizos
Attunement,Sintonización
Describes a character's magical energy and determines how many spells can be cast,Describe la energía mágica de un personaje y determina cuantos hechizos se pueden lanzar.
Attunement refills fully when the character rests in a camp,La sintonización se recarga por completo cuando el personaje descansa en un campamento.
Note that different classes use different root abilities for Attunement,Tenga en cuenta que las diferentes clases utilizan diferentes habilidades raíz para la Sintonización.
Magical Aptitude,Aptitud mágica
MAGICAL APTITUDE,APTITUD MAGICA
The Magical Aptitude score is added to the numerical value of spells such as the amount of damage dealt or vitality healed,"La puntuación de Aptitud Magfca se suma al valor numérico de los hechizos, como la cantidad de daño infligido o la vitalidad curada."
Max Cascade,Max Cascade
MAX CASCADE,CASCADA MAXIMA
The maximum numbers of spells a spellcaster can cast in a single turn due to Cascade effects,La cantidad máxima de hechizos que un lanzador de hechizos puede lanzar en un solo turno debido a los efectos de Cascada
Magic Schools,Escuelas de magia
The Schools of Magic,Las Escuelas de Magia
The value of this attribute indicates the maximum tier of spell from that school the character may cast,El valor de este atributo indica el nivel máximo de hechizo de esa escuela que el personaje puede lanzar.
Aura Radius,Radio del aura
"If non-zero, this number is added to the radius of your spells with Aura-shaped area of effects","Si no es cero, este numero se agrega al radio de tus hechizos con un área de efectos en forma de aura."
Line Range,Rango de linea
"If non-zero, this number is added to the width and length of your spells with Line- and Cone-shaped areas of effects","Si no es cero, este numero se agrega al ancho y largo de tus hechizos con áreas de efectos en forma de linea y cono."
Sphere Radius,Radio de la esfera
"If non-zero, this number is added to the radius of your spells with Sphere-shaped area of effects","Si no es cero, este numero se agrega al radio de tus hechizos con un área de efectos en forma de esfera."
#MagicSchools,#EscuelasDeMagia
Air Magic School,Escuela de Magia del Aire
The value of this attribute indicates the highest Spell Tier of Air magic spells you may cast,El valor de este atributo indica el nivel de hechizo mas alto de hechizos de magia de aire que puedes lanzar.
Bardic Magic School,Escuela de Magia Bardica
The value of this attribute indicates the highest Spell Tier of Bardic magic spells you may cast,El valor de este atributo indica el nivel de hechizo mas alto de hechizos de magia bardica que puedes lanzar.
Body Magic School,Escuela de Magia Corporal
The value of this attribute indicates the highest Spell Tier of Body magic spells you may cast,El valor de este atributo indica el nivel de hechizo mas alto de hechizos de magia corporal que puedes lanzar.
Earth Magic School,Escuela de Magia de la Tierra
The value of this attribute indicates the highest Spell Tier of Earth magic spells you may cast,El valor de este atributo indica el nivel de hechizo mas alto de hechizos de magia de Tierra que puedes lanzar.
Fire Magic School,Escuela de Magia del Fuego
The value of this attribute indicates the highest Spell Tier of Fire magic spells you may cast,El valor de este atributo indica el nivel de hechizo mas alto de hechizos de magia de fuego que puedes lanzar.
Mind Magic School,Escuela de Magia Mental
The value of this attribute indicates the highest Spell Tier of Mind magic spells you may cast,El valor de este atributo indica el nivel de hechizo mas alto de hechizos de magia mental que puedes lanzar.
Nature Magic School,Escuela de Magia de la Naturaleza
The value of this attribute indicates the highest Spell Tier of Nature magic spells you may cast,El valor de este atributo indica el nivel de hechizo mas alto de hechizos de magia de naturaleza que puedes lanzar.
Spirit Magic School,Escuela de Magia Espiritual
The value of this attribute indicates the highest Spell Tier of Spirit magic spells you may cast,El valor de este atributo indica el nivel de hechizo mas alto de hechizos de magia espiritual que puedes lanzar.
#PrimaryAttributes,#AtributosPrimarios
Agility,Agilidad
"A measure of hand-eye coordination, nimbleness and dexterity","Una medida de coordinación mano-ojo, agilidad y destreza."
Describes how tough and resilient a character is,Describe lo duro y resistente que es un personaje.
Intellect,Intelecto
"Mental acuity, recall and analytical skill","Agudeza mental, capacidad de memoria y capacidad analítica"
Presence,Presencia
A character's ability to read and react to the surrounding environment and people,La capacidad de un personaje para leer y reaccionar ante el entorno y las personas que lo rodean.
Strength,Fuerza
A measure of a character's brawn and physical power,Una medida de la fuerza y el poder físico de un personaje.
#SecCombatAttributes,#AtributosDeCombateSeguro
Arrow Recovery,Recuperación de flechas
The percentage chance that an arrow fired by the character in combat can be recovered and reused,El porcentaje de probabilidad de que una flecha disparada por el personaje en combate pueda recuperarse y reutilizarse.
Attack Count,Recuento de ataques
The number of Attacks the character can potentially perform in a full round of combat,La cantidad de ataques que el personaje puede realizar potencialmente en una ronda completa de combate.
"Typically a character cannot perform multiple Attacks if they also move, or perform move-equivalent actions the same turn","Normalmente, un personaje no puede realizar múltiples ataques si también se mueve, o realizar acciones equivalentes a movimientos en el mismo turno."
Backstab Bonus,Bono de puñalada por la espalda
"If a successful Backstab Attack is performed, this Attribute is multiplied by the Weapon’s Crit multiplier and added to the total Damage","Si se realiza un ataque de puñalada por la espalda con éxito, este atributo se multiplica por el multiplicador critico del arma y se agrega al daño total."
Carrying Bonus,Bono de porte
A bonus in pounds added to the character’s Carrying Capacity,Una bonificación en libras añadida a la capacidad de carga del personaje.
Charge Bonus,Bono de carga
"If a character is charging, this bonus is added on top of the base charge bonus","Si un personaje esta cargando, esta bonificación se suma a la bonificación de carga base."
The charge bonus is added to the following attack’s To Hit and Damage roll,La bonificación de carga se añade a la tirada de golpe y daño del siguiente ataque.
Defend Bonus,Bono de defensa
The bonus that is added to a character’s Dodge value when performing the Defend action,La bonificación que se añade al valor de Esquivar de un personaje al realizar la acción de Defender.
Flanking Bonus,Bono de flanqueo
The bonus that is added to a character’s To Hit roll when attacking a Flanked opponent,La bonificación que se añade a la tirada para golpear de un personaje cuando ataca a un oponente flanqueado.
Loot Bonus,Bonificación de botín
This attribute provides a percentage bonus increase of the amount of gold you find by looting corpses after combat,Este atributo proporciona un aumento porcentual adicional de la cantidad de oro que encuentras al saquear cadáveres después del combate.
Movement,Movimiento
The number of tiles a character can move during a single combat turn and still attack,La cantidad de fichas que un personaje puede mover durante un solo turno de combate y aun así atacar.
Phalanx Bonus,Bonificación de falange
"If wielding a shield, you get a bonus to Dodge for each adjacent ally up to your Phalanx value","Si usas un escudo, obtienes una bonificación a Esquivar por cada aliado adyacente hasta tu valor de Falange."
This means that you do not get any such bonus if your bonus is,Esto significa que no recibirás ningún bono si tu bono es
Regeneration,Regeneración
"If above 0, you regain a number of Vitality points at the beginning of each combat turn equal to your Regeneration score","Si es superior a 0, recuperas una cantidad de puntos de Vitalidad al comienzo de cada turno de combate igual a tu puntuación de Regeneración."
Retribution,Venganza
"If above 0, you deal damage equal to your retribution score to any opponents that score a melee attack hit against you","Si es mayor que 0, infliges daño igual a tu puntuación de retribución a cualquier oponente que te golpee con un ataque cuerpo a cuerpo."
Natural Soak,Remojo natural
Natural soak represents soak derived from a thick skin or unnaturally high resistance to physical damage,El remojo natural representa el remojo derivado de una piel gruesa o una resistencia anormalmente alta al daño físico.
XP Percentage Bonus,Bonificación porcentual de XP
"If above 0, this attribute provides a percentage bonus to all XP gained for this character","Si es superior a 0, este atributo proporciona una bonificación porcentual a toda la XP obtenida para este personaje."
#Secondary Attributes,#Atributos secundarios
Vitality,Vitalidad
Vitality describes the amount of damage a character can take before becoming seriously wounded,La vitalidad describe la cantidad de daño que un personaje puede recibir antes de resultar gravemente herido.
Vitality is fairly easily regained through the use of consumable items and spells,La vitalidad se recupera con bastante facilidad mediante el uso de artículos consumibles y hechizos.
Wounds,Heridas
Wounds represent serious injury to the character,Las heridas representan lesiones graves al personaje.
"Wounds are much harder to recover for characters, typically requiring bed rest",Las heridas son mucho mas difíciles de recuperar para los personajes y generalmente requieren reposo en cama.
#Skills,#Habilidades
Athletics,Atletismo
"Athletics are used to jump, climb, swim or sprint","El atletismo se utiliza para saltar, escalar, nadar o correr."
Awareness,Conciencia
The ability to notice small details and hidden things,La capacidad de notar pequeños detalles y cosas ocultas.
Crafting,Elaboración
Crafting is used when creating items at crafting stations,La elaboración se utiliza al crear elementos en las estaciones de elaboración.
Diplomacy,Diplomacia
"Diplomacy is used to lie, bargain or sway others in negotiations","La diplomacia se utiliza para mentir, negociar o influir en otros en las negociaciones."
It influences prices at merchants,Influye en los precios en los comercios.
Healing,Curación
Healing is used in camp to increase the rate of wound recovery for wounded characters,La curación se utiliza en el campamento para aumentar la tasa de recuperación de heridas de los personajes heridos.
It also influences the amount of vitality regained from healing potions and is used in dialogue tests when dealing with medical issues and such,También influye en la cantidad de vitalidad recuperada de las pociones curativas y se utiliza en pruebas de dialogo cuando se tratan problemas médicos y similares.
Lore,Ciencia
A general knowledge skill,Una habilidad de conocimiento general
Stealth,Sigilo
Stealth is used during adventuring,El sigilo se utiliza durante las aventuras.
In particular it determines if NPCs notice the party as it moves around,"En particular, determina si los NPC notan al grupo mientras se mueve."
Survival,Supervivencia
"Survival is used to forage for food, navigate difficult overland terrain and also determines a character's general knowledge of nature","La supervivencia se utiliza para buscar comida, navegar por terrenos difíciles y también determina el conocimiento general de la naturaleza de un personaje."
Thievery,Robo
Used to pick locks and pockets as well as to steal from shops,"Se utiliza para abrir cerraduras y bolsillos, así como para robar en tiendas."
