original,traducido
Walk the path in humble fate Contemplate the hidden gate,Recorre el camino en humilde destino Contempla la puerta oculta
Let the watchers show the way Like time flows ‘round the wheel of day,Que los observadores muestren el camino como el tiempo fluye alrededor de la rueda del dia.
To heed the silent sleepers call And enter into the Dreaming Hall,Para escuchar el llamado de los durmientes silenciosos y entrar en el Salon de los Sueños
Ink and Paper,Tinta y papel
Ink and paper that appears to have been abandoned mid-use,Tinta y papel que parecen haber sido abandonados a mitad de su uso.
It seems someone was copying the mosaic on the floor,Parece que alguien estaba copiando el mosaico del suelo.
Grotesque Relief,Relieve grotesco
The sarcophagus has the following description,El sarcofago tiene la siguiente descripcion
Carroleth the Manyfaced - First Grandmaster of the Order of the Crystal Eye,Carroleth el Multifacetico - Primer Gran Maestro de la Orden del Ojo de Cristal
Rothrax the Gray - Second Grandmaster of the Order of the Crystal Eye,Rothrax el Gris - Segundo Gran Maestro de la Orden del Ojo de Cristal
Kalamar the Wise - Third Grandmaster of the Order of the Crystal Eye,Kalamar el Sabio - Tercer Gran Maestro de la Orden del Ojo de Cristal
Secret Passage,Pasaje secreto
The relief of this altarpiece seems to shift and squirm in the dancing light,El relieve de este retablo parece moverse y retorcerse bajo la luz danzante.
"What’s more, there appears to be a hidden passage behind it","Es mas, parece que hay un pasaje oculto detras de el."
No way of opening it can be seen nearby,No se ve ninguna forma de abrirlo cerca.
Pile of Ash,Pila de cenizas
This cave opens up into the sheer cliff wall beneath the tower,Esta cueva se abre hacia la escarpada pared del acantilado debajo de la torre.
Piled on the ledge is a great heap of ash that the wind occasionally carries away in great wisps,Apilado en la cornisa hay un gran monton de cenizas que el viento a veces arrastra en grandes volutas.
Carefully you prod the pile only to find a small handful of scorched human bones and teeth,Cuidadosamente hurgas la pila solo para encontrar un pequeño puñado de huesos y dientes humanos quemados.
"Looking around, you see a great in the ceiling above from which the ash appears to have been dumped","Mirando alrededor, se ve un gran agujero en el techo, desde donde parece que se han arrojado las cenizas."
"A large square slab with small holes carved in it appears to be placed over some sort of shaft, sealing it shut","Una gran losa cuadrada con pequeños agujeros tallados parece estar colocada sobre una especie de pozo, sellandolo."
You attempt to look through one of the holes but are knocked back by an unbearable stench emitting from below,"Intentas mirar a traves de uno de los agujeros, pero te detiene un hedor insoportable que emana desde abajo."
But wait?,¿Pero espera?
Was there something else?,¿Habia algo mas?
Movement?,¿Movimiento?
The slab seems too heavy to lift and just as well,La losa parece demasiado pesada para levantarla y asi es.
You have an overwhelming feeling that what is trapped in the shaft below was not meant for mortal eyes to see and is best left in the dark,Tienes una sensacion abrumadora de que lo que esta atrapado en el pozo de abajo no esta destinado a ser visto por ojos mortales y es mejor dejarlo en la oscuridad.
A Desk,Un escritorio
A desk with a maritime navigation map,Un escritorio con un mapa de navegacion maritima
The map is labled 'The Outer Isles' and a course is drawn towards an island named 'Idra',El mapa esta etiquetado como 'Las Islas Exteriores' y se dibuja un rumbo hacia una isla llamada 'Idra'.
A Grisly Scene,Una escena espeluznante
You recognize the corpse of one of the crew-mates,Reconoces el cadaver de uno de los compañeros de tripulacion.
A young man of barely 16 years called Sullum,Un joven de apenas 16 años llamado Sullum
The youth has been mauled to death by what you assume are the grotesquely altered rats you encounterd just minutes ago,El joven ha sido mutilado hasta la muerte por lo que supones que son las ratas grotescamente alteradas que encontraste hace apenas unos minutos.
The corpse is still warm,El cadaver todavia esta caliente.
#Interactables,#Interactables
A Cat,Un gato
A cat watches you intently,Un gato te observa atentamente
Chain,Cadena
Beehive,Colmena
Benches,bancos
Drinks,Bebidas
Food,Alimento
A King in Yellow,Un rey de amarillo
Stage,Escenario
Stairways,Escaleras
Mine Entrance,Entrada de la mina
Grindstone,Piedra de amolar
A grindstone used for sharpening weapons,Una piedra de afilar utilizada para afilar armas.
Entrance to Tunnels,Entrada a los tuneles
The Fishermen's Gate,La Puerta de los Pescadores
A Prisoner,Un prisionero
Dead Horse,Caballo muerto
Scraps of Meat,Restos de carne
Jakub and Ella,Jakub y Ella
The Ganglion,El ganglio
A Well,Un pozo
Dessicated Corpse,Cadaver desecado
Ladder,Escalera
Telescope,Telescopio
Cato's Study,El estudio de Caton
Prisoner,Prisionero
A Map,Un mapa
Faulty Support,Soporte defectuoso
Weakened Wall,Muro debilitado
Mole Burrow,Madriguera de topo
A Monolith,Un monolito
Portcullis,Rastrillo
Ancient Monolith,Monolito antiguo
Golden Tomb,Tumba Dorada
Gong,Gong
A Statue,Una estatua
Rope,Soga
A Painting,Una pintura
Helm,Timon
Shrine of Agility,Santuario de la Agilidad
Shrine of Fortitude,Santuario de la Fortaleza
Shrine of Intellect,Santuario del Intelecto
Shrine of Presence,Santuario de la Presencia
Shrine of Strength,Santuario de la Fuerza
Driina,Driina
Pool,Piscina
A Stange Statue,Una estatua extraña
Console,Consola
Strange Basins,Cuencas extrañas
Vomit Cap cluster,Grupo de vomitos
Waterfall,Cascada
Winch,Cabrestante
Drainage,Drenaje
Elevator,Ascensor
A Strange Machine,Una maquina extraña
Protoplasmic Catalyzer,Catalizador protoplasmico
Book,Libro
Reflecting Pool,Piscina reflectante
#LightSources,#FuentesDeLuz
Bees,Abejas
Brazier,Brasero
Camp Fire,Fogata
Candles,Velas
Candle,Vela
Flies,Moscas
Fire,Fuego
Fireflies,Luciernagas
Glow Globe,Globo luminoso
Model,Modelo
Lightcaster,Lanzador de luz
Stake,Apostar
Torch,Antorcha
A torch hangs on the wall,Una antorcha cuelga en la pared.
Light,Luz
#Pickups,#Pickups
Carrots,Zanahorias
Cheese Wheel,Rueda de queso
Fish,Pez
Gullyfern,Helecho de barranco
Legionnaire’s Rest,Descanso del Legionario
Sorrow-Eater,Devorador de tristeza
Starspawn,Engendro estelar
Sunmouth,Boca del sol
Apples,manzanas
Pears,Peras
Eggs,Huevos
Cured Hams,Jamones curados
Lantern,Linterna
Leeks,Puerros
Patch of Cavechild,Parche de Cavechild
Patch of Glowmen,Parche de hombres brillantes
Fellbell,Fellbell
Laughtercap,Gorro de risa
Morel,Morel
Punny Bun,Bollo punny
Wyrdloaf,Pan del Wyrd
Bird's Nest,Nido de pajaro
Onions,cebollas
Pick-Axe,Piqueta
Potatos,patatas
Ripe Pumpkin,Calabaza madura
Recipe,Receta
Rotten Log,Tronco podrido
A Badge,Una insignia
Shovel,Pala
Vessels,Buques
Lotus Pool,Piscina de loto
#TestProps,#Accesorios de prueba
Broken Bridge,Puente roto
The bridge ahead is broken,El puente de adelante esta roto
Perhaps you can jump the gap?,¿Quizas puedas saltar el hueco?
Climbing Holds,Presas de escalada
You can climb down this wall,Puedes bajar por esta pared.
You can climb the wall ahead,Puedes escalar la pared que esta mas adelante.
"Using the rope, you can descend the wall","Usando la cuerda, puedes descender la pared."
Stack of Boxes,Pila de cajas
Using the stack of boxes you can reach the rope and try to climb the wall,Usando la pila de cajas puedes alcanzar la cuerda e intentar escalar la pared.
#Triggers,#Desencadenantes
{notHasJournalEntry|JOU_CrabCaveEntrance},{notHasJournalEntry|JOU_CrabCaveEntrance}
A Survivor,Un sobreviviente
#Warps,#Deformaciones
Entrance,Entrada
Stairs,Escaleras
A set of stairs leading to the deck above,Un conjunto de escaleras que conducen a la cubierta superior.
Stairs Up,Subir escaleras
Cave Entrance,Entrada a la cueva
Exit,Salida
A set of stairs leading to the deck below,Un conjunto de escaleras que conducen a la cubierta inferior.
Stairs Down,Escaleras abajo
Trapdoor,Trampa
Castle Entrance,Entrada del castillo
Castle Exit,Salida del castillo
Catacomb Entrance,Entrada a las catacumbas
Exit to Temple,Salida al templo
Grate,Rallar
Secret Door,Puerta secreta
Firgol,Firgol
Adler's Helm,Yelmo de Adler
Horryn,Horryn
A Hidden Glen,Un valle escondido
Abandoned Farm,Granja abandonada
A Refugee Camp,Un campo de refugiados
A Forest Glade,Un claro del bosque
The Wreck of the Zephyr,El naufragio del Céfiro
A Lighthouse,Un faro
The Black Priory,El Priorato Negro
Sea Caves,Cuevas marinas
A Tower,Una torre
Rope and Bucket,Cuerda y cubo
Ladders,Escaleras
#WorkBenches,#BancosDeTrabajo
Alchemist's Tools,Herramientas del alquimista
A cauldron for cooking,Un caldero para cocinar
Pot,Olla
An pot that can be used for cooking,Una olla que se puede utilizar para cocinar.
Oven,Horno
An oven that can be used for cooking,Un horno que se puede utilizar para cocinar.
