original,translation
I’ve acquired the food-supplies needed to feed the refugees,He adquirido los suministros de alimentos necesarios para alimentar a los refugiados
Now all that remains is to return to Frantzo and tell him the good news,Ahora sólo queda volver a Frantzo y darle la buena noticia.
Outbreak,Brote
"There is an outbreak in camp and the aged cleric, Drahl, has asked me to help him look for a cure","Hay un brote en el campamento y el anciano clérigo, Drahl, me ha pedido que le ayude a buscar una cura..."
He suggests I start by talking to Hannah,Sugiere que empiece hablando con Hannah
The mother of a sick child who appears to have a suggestion for a cure,La madre de un niño enfermo que parece tener una sugerencia de cura
She can be found in a cottage south of camp,Se la puede encontrar en una cabaña al sur del campamento
I provided Drahl with a cure for the outbreak and it appears to be having the intended effect,He proporcionado a Drahl una cura para el brote y parece que está teniendo el efecto deseado.
A Mother's Love,El amor de una madre
A young mother in the refugee camp has pleeded with me to help save her child,Una joven madre del campo de refugiados me suplicó que le ayudara a salvar a su hijo.
The boy's fallen ill and she begs me to seek out an old crone living in the forest in the islands interior,El niño ha caído enfermo y ella me ruega que busque a una vieja bruja que vive en el bosque del interior de las islas.
She would know how to help,Ella sabría cómo ayudar
"Though the old woman had gone insane, I was able to get medicine for the child","Aunque la anciana se había vuelto loca, pude conseguir medicinas para el niño..."
I was unable to get medicine for Hannah in time,No pude conseguir medicinas para Hannah a tiempo.
Both mother and child passed,Tanto la madre como el hijo fallecieron
"Having gotten his medicine, Hannah's boy is looking better already","Después de recibir su medicina, el chico de Hannah ya tiene mejor aspecto."
The Un-Born,El no nacido
Mother Katak will help with the outbreak in camp,Madre Katak ayudará con el brote en el campamento
"To make medicine she has asked me to find ""the un-born of the scaled ones""",Para hacer medicina me ha pedido que encuentre «el no nacido de los escamados»
"Apparently they dwell nearby: ""north of the great oak and past the fetid pools""",Al parecer viven cerca: «al norte del gran roble y más allá de los estanques fétidos»
I recovered eggs from a pack of giant lizards and delivered them to the mad old hag,Recuperé huevos de una manada de lagartos gigantes y se los entregué a la vieja bruja loca
You need to find 1 GiantLizardEgg,Necesitas encontrar 1 huevo de lagarto gigante
You found GiantLizardEgg!,Has encontrado Huevo de lagarto gigante!
The Eternity Gate,El Puerta de la Eternidad
I find myself naked and alone in the darkness,Me encuentro desnudo y solo en la oscuridad
I can only surmise I am inside the strange structure that we found underneath the Black Priory,Sólo puedo suponer que estoy dentro de la extraña estructura que encontramos bajo el Priorato Negro.
Truly this is a place where no mortal foot was ever meant to tread,Verdaderamente este es un lugar donde ningún pie mortal estaba destinado a pisar
I am undone,Estoy deshecho
Dust in an endless void,Polvo en un vacío sin fin
This will be my final entry,Esta será mi entrada final
The Zephyr,El Cefiro
"I need to investigate what is happening with ""The Zephyr","Necesito a investigar que esta pasando con ""El Cefiro"
A mutiny had broken out as the crew refused to bring the ship closer to Idra,Estalló un motín porque la tripulación se negó a acercar el barco a Idra.
They claimed the island was cursed,Decían que la isla estaba maldita
"The zephyr was sunk by a terrible, un-namable creature of the deep",El céfiro fue hundido por una terrible e innombrable criatura de las profundidades...
Plateau of Madness,Meseta de Locura
The Cabal expedition landed at the mining-village of Adler’s Helm,La expedicion de la Cabala desembarcó en el pueblo minero de Yelmo de Adler
I suspect we can find a way to ascend to the interior plateau on Gradla if we follow their trail to Adler's Helm and beyond,Sospecho que podemos encontrar una forma de ascender a la meseta interior de Gradla si seguimos su rastro hasta el Yelmo de Adler y más allá...
"Following the ancient stairs discovered by the miners of Adler’s Helm, we have reached the interior plateau","Siguiendo las antiguas escaleras descubiertas por los mineros del Yelmo de Adler, hemos llegado a la meseta interior"
The Priory lies within reach,El Priorato está al alcance de la mano
Retaking Horryn,Recuperar Horryn
"To retake Horryn, we must kill the three Reaver chiefs that occupy the city","Para recuperar Horryn, debemos matar a los tres jefes Saqueadores que ocupan la ciudad"
"The three are know as Oleg the Gray, Queen Kala and the Butcher","Los tres son conocidos como Oleg el Gris, la Reina Kala y el Carnicero."
Iben cautions that the threesome is fierce and that we might use cunning and use their infighting to our advantage,Iben advierte que el trío es feroz y que podríamos usar la astucia y aprovechar sus luchas internas en nuestro beneficio
Oleg the Gray,Oleg el Gris
Dead Queen Kala,Reina muerta Kala
Dead The Butcher,Muerto El Carnicero
Dead,Muerto
Alive,Vivo
Alive The Butcher,Vivo El Carnicero
Alive Queen Kala,Reina viva Kala
We have retaken the outer city,Hemos retomado la ciudad exterior
Storming the Keep,Asalto a la Torre
"Though we have liberated the outer city, Horryn’s keep remains in the possession of the Reavers","Aunque hemos liberado la ciudad exterior, la torre de Horryn sigue en poder de los Segadores..."
The keep is well protected from a frontal assault so we need to look for an alternate entrance,El torreón está bien protegido de un asalto frontal por lo que tenemos que buscar una entrada alternativa
I successfully infiltrated the keep and slew the foul creature known as “Father,"Conseguí infiltrarme en el torreón y maté a la asquerosa criatura conocida como ""Padre"
The Secret Tunnel,El túnel secreto
Hierophant Drahl believes a secret tunnel exists that connects the keep to the crypts underneath the temple,El hierofante Drahl cree que existe un túnel secreto que conecta la torre del homenaje con las criptas bajo el templo.
The sacred crypts of the Sepulchites can be accessed from within the temple,Se puede acceder a las criptas sagradas de los Sepulcros desde el interior del templo
"Drahl suspects that if a secret tunnel does indeed exist, it probably lies in the deeper sections of the crypts","Drahl sospecha que si existe un túnel secreto, probablemente se encuentre en las secciones más profundas de las criptas."
"Though the crypt was overrun by foul undead creatures, we did indeed find the secret tunnel","Aunque la cripta estaba invadida por asquerosas criaturas no muertas, encontramos el túnel secreto..."
Talk to Drahl,Hablar a Drahl
"According to Markus, Hierophant Drahl might know of a secret entrance into the keep","Según Markus, el Hierofante Drahl podría conocer una entrada secreta al torreón..."
The Hierophant can be found in front of the newly liberated temple,El Hierofante se encuentra frente al templo recién liberado
I met and talked to the Hierophant,Conocí y hablé con el Hierofante
Talk to Markus,Habla con Markus
I’ve been told to meet Markus the Chamberlain at the inn that lies west of the city square in Horryn,Me han dicho que me encuentre con Markus el Chambelán en la posada que se encuentra al oeste de la plaza de la ciudad en Horryn
I suspect he has an idea about how to pierce the keep's defences,Sospecho que tiene una idea de cómo perforar las defensas del torreón...
I found and talked to Markus,Encontré y hablé con Markus
Untold Eons,Incalculables Eones
"We’ve penetrated the dungeons that lay beneath the Black Priory and entered into the black, timeless realms beyond",Hemos penetrado en las mazmorras que yacen bajo el Priorato Negro y nos hemos adentrado en los reinos negros e intemporales del más allá.
Now it remains to be seen what untold secrets have lain hidden for so long,Ahora queda por ver qué secretos inconfesables han permanecido ocultos durante tanto tiempo
We found what the Cabal was excavating underneath the Priory,Encontramos lo que la Cábala estaba excavando bajo el Priorato
By the Golden how I wish we had let it lie in peace,Por el Dorado cómo me gustaría que lo hubiéramos dejado reposar en paz
I fear there is no salvation for us now,Me temo que ya no hay salvación para nosotros
The Priory Opens,El Priorato abre sus puertas
We’ve entered the Black Priory,Hemos entrado en el Priorato Negro
"Whatever secrets the Cabal expedition found here, I suspect they lay beneath the priory","Sean cuales sean los secretos que la expedición de la Cábala encontró aquí, sospecho que yacen bajo el priorato"
We must find a way to enter the dungeon below,Debemos encontrar una manera de entrar en la mazmorra de abajo
We have breached the lower level of the priory,Hemos entrado en el nivel inferior del priorato
To Sleep and Dream,Dormir y soñar
The secrets of the Priory are within reach,Los secretos del Priorato están al alcance de la mano
We must navigate the catacombs and reach the great secret that lies at its heart,Debemos navegar por las catacumbas y llegar al gran secreto que se esconde en su corazón
May the Dead save us,Que los muertos nos salven
The secrets of this place are far deeper and more ancient than any of us could have guessed,Los secretos de este lugar son mucho más profundos y antiguos de lo que cualquiera de nosotros podría haber imaginado...
We descend now into a darkness from which I fear we’ll never re-emerge,Descendemos ahora a una oscuridad de la que me temo que nunca volveremos a salir.
Upon Black Seas,Sobre los mares negros
I rescued Embla but we find that there is no way to return to the main-land whilst the Outer Isles is engulfed in this madness,"Rescaté a Embla, pero no hay forma de volver a tierra firme mientras las Islas Exteriores estén sumidas en esta locura."
Embla is convinced the calamity is somehow caused by the discovery of an ancient site known as “The Black Priory” on the island of Gradla,Embla está convencido de que la calamidad se debe al descubrimiento de un antiguo yacimiento conocido como «El Priorato Negro» en la isla de Gradla.
Gradla is located to the north of Idra and we must find a ship and crew willing to take us there,Gradla se encuentra al norte de Idra y debemos encontrar un barco y una tripulación dispuestos a llevarnos hasta allí.
Gradla is within sight,Gradla está a la vista
Now we must make landfall and seek a way to reach the inland plateau,Ahora debemos tocar tierra y buscar la forma de llegar a la meseta interior
#Side Quests,#Misiones secundarias
The Boar's Medicine,La medicina del jabalí
Kydeon asked me fetch a bottle of brandy from the wine cellar under the kitchen after I talk to Lyra,Kydeon me pidió que trajera una botella de brandy de la bodega de la cocina después de hablar con Lyra.
The old boar will sleep soundly tonight,El viejo jabalí dormirá profundamente esta noche
M' damn knees are acting up again,Mis malditas rodillas están actuando de nuevo
Can't hardly sleep on account of the aches,Apenas puedo dormir a causa de los dolores
"Let me tell you, I'd take an arrow in the leg any day","Déjenme decirles, tomaría una flecha en la pierna cualquier día..."
"If you're going over to the kitchen later for a bit of grub, a bottle of brandy from the wine-cellar would make me a happy man!","Si luego vas a la cocina a comer algo, una botella de brandy de la bodega me haría muy feliz."
Kydeon shifts as if to emphasize his stiff knees,Kydeon se mueve como para enfatizar sus rodillas rígidas
Ha!,¡Ja!
That's some fine foraging young whelp!,"¡Eso sí que es buscar comida, joven cachorro!"
"Before you can get a word in, Kydeon snatches the bottle, uncorks it and drinks deeply","Antes de que puedas decir una palabra, Kydeon coge la botella, la destapa y bebe profundamente."
"The old man, eyes closed in relief, lets out a deep sigh","El anciano, con los ojos cerrados por el alivio, deja escapar un profundo suspiro"
May your sleep be dreamless,Que tu sueño no tenga sueños
he speaks as if to himself,habla como para sí mismo
The Cellar,La bodega
Look for your father in the cellar under the kitchen,Busca a tu padre en el sótano debajo de la cocina
You found your father,Encontraste a tu padre
The Beast in the Hearth,La bestia en el corazón
Lyra has betted with me to see if I can sneak into the hearth of the villa and confront the 'beast' that hides there,Lyra ha apostado conmigo a ver si puedo colarme en el hogar de la villa y enfrentarme a la «bestia» que allí se esconde
I won our wager and snuk into the hearth,Gané nuestra apuesta y se escondió en el hogar
There I met a mercenary by the name or Roland Greyeye,Allí conocí a un mercenario llamado Roland Greyeye...
I failed to sneak into the hearth,No conseguí colarme en la chimenea
Exploring the Grounds,Explorar el terreno
"While I wait for the Lord Berryn to become available, I should look for some food and perhaps walk the gardens and hedge maze before I check back in with Lyra again","Mientras espero a que Lord Berryn esté disponible, debería buscar algo de comida y quizás pasear por los jardines y el laberinto de setos antes de volver a ver a Lyra."
The lord of House Berryn is ready for me now,El señor de la Casa Berryn está listo para mí ahora.
An Evening Meal,Cena al anochecer
I have been ordered to go procure a meal for myself from the kitchen as there is no saying how long I will be waiting,Me han ordenado que me busque algo de comer en la cocina porque no sé cuánto tiempo voy a tener que esperar.
I should talk to the chef,Debería hablar con el chef
Chef Armand taught me to make his famous melted cheese sandwiches,El chef Armand me enseñó a hacer sus famosos sándwiches de queso fundido
"Surely, old Magda cries in the tomb at what her kitchen has come to","Seguramente, la vieja Magda llora en la tumba por lo que su cocina ha llegado a ser."
Chef Armand has offered to teach me how to make his famous cheese sandwich,El chef Armand se ha ofrecido a enseñarme a hacer su famoso sándwich de queso
For starters I have to fetch cheddar cheese and cured ham from the cellar under the kitchen,"Para empezar, tengo que ir a buscar queso cheddar y jamón curado al sótano de la cocina."
My suggestion is thusly,Mi sugerencia es la siguiente
"Whilst I stoke the fire, you run down in the pantry and fetch some cured ham and cheddar cheese","Mientras atizo el fuego, baja a la despensa y trae jamón serrano y queso cheddar."
I will then teach you how to cook my renowned melted cheese sandwich and you shall never want for an evening meal for as long as you live!,Luego te enseñaré a cocinar mi famoso sándwich de queso fundido y ¡nunca te faltará de cenar mientras vivas!
The Hedge Maze,El laberinto de setos
Lyra suggests I should explore the hedge-maze in the villa grounds while I wait for master Cato to become ready,Lyra sugiere que explore el laberinto de setos de la villa mientras espero a que el maestro Cato esté listo...
"You managed to find ""Embla"" in the maze",Has conseguido encontrar a «Embla» en el laberinto
A Deeper Dark,Una oscuridad más profunda
One of the lighthouse keepers went mad and killed himself after dreaming of a strange blade buried deep within the caves below the lighthouse,Uno de los fareros enloqueció y se suicidó tras soñar con una extraña espada enterrada en las profundidades de las cuevas bajo el faro.
Perhaps that artifact should be recovered for safe-keeping... or use,Tal vez ese artefacto debe ser recuperado para su custodia ... o uso
The entrance to the caves is under the broken bridge,La entrada a las cuevas está bajo el puente roto
"I recovered a strange dagger from some sort of ancient, pre-Imperial, ritual chamber in the caves beneath the lighthouse",Recuperé una extraña daga de una especie de antigua cámara ritual preimperial en las cuevas bajo el faro...
Find Froggert!,¡Encuentra a Froggert!
"Marsa, a young girl in the Idran camp, has lost her stuffed animal 'Froggert'","Marsa, una niña del campo de Idran, ha perdido su peluche «Froggert»."
Getting it back for her might be a small act of kindness in a sea of horrors,Recuperarlo para ella podría ser un pequeño acto de bondad en un mar de horrores
The wayward reptile has been recovered,El reptil descarriado ha sido recuperado
Marsa was overjoyed,Marsa estaba encantada
It felt good to help,Me sentí bien ayudando
Lost Sailors,Marineros perdidos
I met a small group of surviving sailors from the Zephyr camped near the wreck,Me encontré con un pequeño grupo de marineros supervivientes del Zephyr acampados cerca del naufragio
"Their de-facto leader, Snow, has asked that I send any survivors I find his way","Su líder de facto, Snow, me ha pedido que envíe a los supervivientes que encuentre..."
There should be at least 3 out there,Debería haber al menos 3
Found so far,Encontrado hasta ahora
I sent those I could find to Snow’s camp,Envié a los que pude encontrar al campamento de Snow
"Though the group is still small, they certainly stand a better chance together than alone","Aunque el grupo sigue siendo pequeño, tienen más posibilidades juntos que solos."
Sealed Away,Sellado
"Kat from the Zephyr, suggests we should look to see if the captain’s seal survived the sinking","Kat del Cefiro, sugiere que deberíamos mirar si el sello del capitán sobrevivió al hundimiento"
"Though the captain died on the Zephyr, one of the other crew-members might have managed to bring it ashore","Aunque el capitán murió en el Zephyr, uno de los otros miembros de la tripulación podría haber logrado traerlo a tierra"
Kat suggests we start by examining a cave to the west,Kat sugiere que empecemos examinando una cueva al oeste
The seal is apparently quite valuable and the Nautical Guild would pay well to have it returned,"Al parecer, el sello es muy valioso y el Gremio Náutico pagaría bien por recuperarlo."
We found the seal on one of the corpses in the cave,Encontramos el sello en uno de los cadáveres de la cueva...
I'll hold onto it and perhaps there is an opportunity to return it to the Nautical Guild if we ever make it back to the mainland,Lo guardaré y quizás haya una oportunidad de devolverlo al Gremio Náutico si alguna vez volvemos a tierra firme.
Rescue Natia,Rescatar a Natia
"Philip, a survivor from Horryn, has pleaded with me to try and rescue his wife Natia who is being dragged away the meet “The Father” inside the keep","Philip, un superviviente de Horryn, me ha suplicado que intente rescatar a su esposa Natia, que está siendo arrastrada a encontrarse con «El Padre» dentro del torreón."
She has auburn hair,Tiene el pelo castaño
I managed to save Natia but not without her suffering a grievous wound,"Conseguí salvar a Natia, pero no sin que sufriera una grave herida."
Thankfully I feel certain she will recover,"Afortunadamente, estoy seguro de que se recuperará."
Philip took her to their small home near the Fisherman’s Gate,Felipe la llevó a su pequeña casa cerca de la Puerta del Pescador
I failed to rescue Natia and she lost her life at the hands of a Reaver,No pude rescatar a Natia y perdió la vida a manos de un Segador.
Philip offered me a gold ring as reward for the rescue of his wife,Philip me ofreció un anillo de oro como recompensa por el rescate de su esposa...
Badge of Honor,Insignia de Honor
Encountered a ‘sewerjack’ under Horryn,Encontre un «sewerjack» bajo Horryn
He lost his badge in a scrap with some vermin in one of the side-tunnels east of where I met him,Perdió su placa en una pelea con unas alimañas en uno de los túneles laterales al este de donde le conocí...
It seems he would be very happy if we recovered it for him,Parece que estaría muy contento si lo recuperamos para él.
I recovered the badge for the sewerjack,Recuperé la placa para el sewerjack
He couldn't offer much in the way of a reward but instead provided me with a hand drawn map of the sewers,"No pudo ofrecerme mucha recompensa, pero me dio un mapa dibujado a mano de las alcantarillas..."
Timber!,¡Madera!
A lumberjack and his son were attacked by monsters in the woods,Un leñador y su hijo fueron atacados por monstruos en el bosque
The son got away but apparently his father didn’t,El hijo escapó pero aparentemente su padre no.
The kid asked me to look for his father,El chico me pidió que buscara a su padre
Apparently their camp can be found east of the big oak,"Al parecer, su campamento se encuentra al este del gran roble"
"Against all odds, I found the lumberjack alive in a giant spider cocoon","Contra todo pronóstico, encontré al leñador vivo en un capullo de araña gigante"
He was grateful to be released and reunited with his son,Estaba agradecido de ser liberado y reunirse con su hijo
The Stargazer,El astrónomo
"It seems Basilo, the wreck picker, has come across a chest of my belongings","Parece que Basilo, el recolector de restos, ha encontrado un cofre con mis pertenencias"
He’s agreed to turn it over if I help him,Ha accedido a entregármelo si le ayudo
It would appear an astronomer has set up a camp in the cliffs west of Basilo’s house,Parece que un astrónomo ha montado un campamento en los acantilados al oeste de la casa de Basilo
He’s asked me to bring him the telescope from the camp,Me ha pedido que le lleve el telescopio del campamento
I brought Basilo the telescope and traded it for my belongings,Le llevé el telescopio a Basilo y se lo cambié por mis pertenencias
Well of Tears,Pozo de Lágrimas
"Marita, a mourning mother, is being haunted by the laughter of her dead children coming from a well on her farm","Marita, una madre de luto, está siendo perseguida por las risas de sus hijos muertos que provienen de un pozo en su granja"
"Sadly, it seems to have driven her mad with grief","Lamentablemente, parece haberla vuelto loca de dolor"
Perhaps there is a way for me to help her?,¿Quizás haya una manera de que yo la ayude?
I ventured into the well and recovered the bones of Marita’s two children,Me aventuré en el pozo y recuperé los huesos de los dos hijos de Marita
"In the darkness below, I encountered some kind of abominable mold creature that had the ability to mimic its victims","En la oscuridad de abajo, me encontré con una especie de moho abominable que tenía la capacidad de imitar a sus víctimas"
I pray this is the last time I encounter such a horror,Rezo para que esta sea la última vez que me encuentro con semejante horror
Zephyr's Wreck,Los restos del Cefiro
A group of Snow’s sailors disappeared whilst exploring the wreckage of the Zephyr,Un grupo de marineros de Snow desapareció mientras exploraba los restos del Cefiro
Snow asks that I investigate their fate,Snow me pide que investigue su destino
Examining the wreckage I came across a monstrously grown rat creature that spoke with the voice of a man,Examinando los restos me encontré con una rata monstruosamente crecida que hablaba con la voz de un hombre
I dispatched it though I came too late to save the lives of the lost sailors,Lo despaché aunque llegué demasiado tarde para salvar las vidas de los marineros perdidos
I best report back to Snow,Será mejor que informe a Nieve
Snow could not pay me for my work but assures me the Nautical Guild will not forget my service,Nieve no pudo pagarme por mi trabajo pero me asegura que el Gremio Náutico no olvidará mis servicios
The Lost Captain,El Capitán Perdido
"Zhara, this first mate of a stranded smuggler’s crew, has asked me to learn the fate of their captain, Iago","Zhara, primer oficial de la tripulación de un contrabandista varado, me ha pedido que averigüe el destino de su capitán, Iago"
He traveled to Horryn to visit the city’s black market right before it fell and that is where I should search for him,Viajó a Horryn para visitar el mercado negro de la ciudad justo antes de su caída y es allí donde debo buscarlo
The entrance to the black market can be found in the city’s sewers,La entrada al mercado negro se encuentra en las alcantarillas de la ciudad
We found Captain Iago in chains in the Rat Queen's dungeons,Encontramos al Capitán Iago encadenado en las mazmorras de la Reina Rata
I should try to free him somehow as he has the potential to become a valuable ally,Debo intentar liberarlo de alguna manera ya que tiene el potencial de convertirse en un valioso aliado
Sisters,Hermanas
"A woman named Julia in Horryn, asked me to find her sister, Ylia, who lives in Firgol","Una mujer llamada Julia en Horryn, me pidió que encontrara a su hermana, Ylia, que vive en Firgol"
Julia is convinced her sister is worried about her safety considering last week’s events in Horryn,Julia está convencida de que su hermana está preocupada por su seguridad teniendo en cuenta los acontecimientos de la semana pasada en Horryn
She wants me to inform Ylia that she is safe given the circumstances,Quiere que informe a Ylia de que está a salvo dadas las circunstancias
I met Ylia and talked to her but the encounter left me none the wiser,"Me encontré con Ylia y hablé con ella, pero el encuentro no me dejó nada más sabio"
It seems Ylia is not only oblivious to the state of the Outer Isles,Parece que Ylia no sólo es ajena al estado de las Islas Exteriores
She also insists that her sister was not late at all and was in fact due to arrive in a few days time,"También insiste en que su hermana no se retrasó en absoluto y que, de hecho, iba a llegar dentro de unos días"
I’m not sure what to make of this,No estoy seguro de qué pensar de esto
Iago in Chains,Iago encadenado
"I found Iago zha Droma, captain of the Weathermaiden, in chains in the black market of the Rat Queen","Encontré a Iago zha Droma, capitán de la Sirena del Tiempo, encadenado en el mercado negro de la Reina Rata"
He begged me to intercede to the queen on his behalf,Me suplicó que intercediera ante la reina en su nombre
"If I somehow manage to free him, he might make a valuable ally","Si consigo liberarlo, podría convertirse en un valioso aliado."
Iago has been freed from the dungeons of the Rat-Queen,Iago ha sido liberado de las mazmorras de la Reina Rata
The Queen's Request,La petición de la Reina
The Rat Queen has asked me to recover the Harbormaster's Ledger for her,La Reina Rata me ha pedido que recupere el Libro Mayor del Capitán del Puerto para ella
She recommends searching the eastern sea-tower,Ella recomienda buscar en la torre del mar del este
We can find that by following the eastern jetty all the way around to the entrance of the harbor,Podemos encontrarlo siguiendo el muelle del este hasta la entrada del puerto
"I recovered the ledger and in return, the queen released Iago","Recuperé el libro mayor y a cambio, la reina liberó a Iago"
There is little love lost there,Hay poco amor perdido allí
Dying Light,Luz moribunda
Mathias needs oil for the lighthouse,Mathias necesita aceite para el faro
I should search for it in the warehouses along the harbor in Horryn once I make my way there,Debería buscarlo en los almacenes del puerto de Horryn una vez que llegue allí
I found the oil and brought it to Mathias,Encontré el aceite y se lo llevé a Mathias
The lighthouse should be well stocked for now,El faro debería estar bien abastecido por ahora
"To show his gratitude, Mathias gave me his old broadsword","Para mostrar su gratitud, Mathias me dio su vieja espada"
Fate of the Santa Fury,Destino de la Santa Furia
"According to Carylla the mercenary captain, the wreck of the lost treasure-ship, the Santa Fury, is said to be located here on Idra","Según Carylla, la capitana mercenaria, se dice que el naufragio del barco-tesoro perdido, la Santa Furia, se encuentra aquí en Idra"
Perhaps I could find it?,¿Tal vez yo pueda encontrarlo?
Hidden Clues,Pistas ocultas
"Carylla the mercenary captain says the Santa Fury is supposed to be found ""on dry land and near the lighthouse"" according to the rumor","Carylla, la capitana mercenaria, dice que se supone que el Santa Furia se encuentra ""en tierra firme y cerca del faro"", según el rumor"
I should search for it,Debería buscarlo
Found the Santa Fury - in a sense,Encontré el Santa Furia - en cierto modo
Turns out there is a painting of the ship hanging in the lighthouse,Resulta que hay un cuadro del barco colgado en el faro
On the back of the painting was a poem,En la parte de atrás del cuadro había un poema
It seems like it might offer directions to something buried in the ground,Parece que podría ofrecer indicaciones sobre algo enterrado en el suelo
Buried Secrets,Secretos enterrados
"From the back of the ""Santa Fury","Desde la popa del ""Santa Fury"
"Setting out to hide her booty, All within the lighthouse's sight","Partiendo para esconder su botín, Todo a la vista del faro"
"leagues south began her trip, ""5 east"" the Captain cried. 4 more north, our valiant ship, Our plunder we shall hide!","leguas al sur comenzó su viaje, ""5 al este"" gritó el Capitán. 4 más al norte, nuestro valiente barco, ¡Nuestro botín esconderemos!"
Land ahoy!,¡Tierra a la vista!
went up the roar,se elevó el rugido
We'll lay our treasure there!,¡Allí depositaremos nuestro tesoro!
"Into the rising sun: 3 more, Then dig and have no fear!","Hacia el sol naciente: 3 más, ¡Entonces cava y no temas!"
Pilgrimage,Peregrinación
There are five pilgrim-shrines in the Outer Isles and I should attempt to visit all of them,Hay cinco santuarios de peregrinos en las Islas Exteriores y debo intentar visitarlos todos
I’ve learned the prayer to recite at each of them,He aprendido la oración que debo recitar en cada uno de ellos
Shrine of Agility,Santuario de la Agilidad
I should pray at the Shrine of Agility to receive its blessing,Debo rezar en el Santuario de la Agilidad para recibir su bendición
