Original,translation
TEXT BACKGROUND COLOR,COLOR DE FONDO DEL TEXTO
The color of certain UI-elements behind text,El color de ciertos elementos de la interfaz de usuario detras del texto
Adjust this to increase the contrast between text and background,Ajustelo para aumentar el contraste entre el texto y el fondo.
Dark,Oscuro
Black,Negro
Launch,Lanzar
Get More Content,Obten mas contenido
Back,Atras
empty,vacio
Load Module,Cargar modulo
LOAD,CARGA
Copy,Copiar
Rename,Renombrar
Delete,Borrar
Load Game,Cargar juego
AUTO_SAVE,GUARDADO AUTOMATICO
Save Date,Fecha guardado
Save Time,Hora guardado
Main Char,Personaje Principal
Rigurt,Riguroso
Level,Nivel
Map,Mapa
Game Date,Fecha del juego
Day,Dia
Version,Version
Module,Modulo
Against the Black Priory,Contra El Priorato Negro
Do you really want to quit the game?,¿Quieres abandonar el juego ?
Unsaved progress will be lost,El progreso no guardado se perdera
Choose a visual style,Elige un estilo visual
DEFAULT is recommended,EL VALOR PREDETERMINADO es recomendado
This can also be customized in the SETTINGS menu,Esto tambien se puede personalizar en el menu AJUSTES
Default,Por defecto
To-Hit,A Golpear
